====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 59  loss 0.2336 (pw 0.0027 harm 1.7787)  [6s, 8,786 win/s]
  ep 60  loss 0.2347 (pw 0.0026 harm 1.8026)  |  MAE 4.225W  F1 0.9165  저항3종 0.995  잔차 26.8W  [6s 학습 / 0s 평가, 8,791 win/s]
  ep 61  loss 0.2320 (pw 0.0027 harm 1.7864)  [6s, 8,718 win/s]
  ep 62  loss 0.2311 (pw 0.0027 harm 1.7644)  [6s, 8,592 win/s]
  ep 63  loss 0.2313 (pw 0.0027 harm 1.7782)  [6s, 8,671 win/s]
  ep 64  loss 0.2318 (pw 0.0026 harm 1.7863)  [6s, 8,654 win/s]
  ep 65  loss 0.2322 (pw 0.0027 harm 1.7904)  [6s, 8,698 win/s]
  ep 66  loss 0.2294 (pw 0.0026 harm 1.7823)  [6s, 8,718 win/s]
  ep 67  loss 0.2322 (pw 0.0026 harm 1.8079)  [6s, 8,696 win/s]
  ep 68  loss 0.2309 (pw 0.0027 harm 1.7782)  [6s, 8,582 win/s]
  ep 69  loss 0.2309 (pw 0.0027 harm 1.7792)  [6s, 8,575 win/s]
  ep 70  loss 0.2296 (pw 0.0026 harm 1.7724)  |  MAE 3.666W  F1 0.9234  저항3종 0.995  잔차 25.3W  [6s 학습 / 0s 평가, 8,568 win/s]
  ep 71  loss 0.2273 (pw 0.0025 harm 1.7730)  [6s, 8,541 win/s]
  ep 72  loss 0.2302 (pw 0.0027 harm 1.7794)  [6s, 8,565 win/s]
  ep 73  loss 0.2280 (pw 0.0026 harm 1.7909)  [6s, 8,601 win/s]
  ep 74  loss 0.2285 (pw 0.0027 harm 1.7690)  [6s, 8,546 win/s]
  ep 75  loss 0.2275 (pw 0.0026 harm 1.7714)  [6s, 8,569 win/s]
  ep 76  loss 0.2281 (pw 0.0026 harm 1.7724)  [6s, 8,564 win/s]
  ep 77  loss 0.2266 (pw 0.0026 harm 1.7697)  [6s, 8,540 win/s]
  ep 78  loss 0.2261 (pw 0.0026 harm 1.7739)  [6s, 8,527 win/s]
  ep 79  loss 0.2245 (pw 0.0025 harm 1.7666)  [6s, 8,708 win/s]
  ep 80  loss 0.2285 (pw 0.0027 harm 1.7862)  |  MAE 4.218W  F1 0.9206  저항3종 0.992  잔차 25.8W  [6s 학습 / 0s 평가, 8,794 win/s]
  ep 81  loss 0.2265 (pw 0.0026 harm 1.7622)  [6s, 8,759 win/s]
  ep 82  loss 0.2246 (pw 0.0027 harm 1.7495)  [6s, 8,801 win/s]
  ep 83  loss 0.2258 (pw 0.0026 harm 1.7772)  [6s, 8,805 win/s]
  ep 84  loss 0.2237 (pw 0.0026 harm 1.7671)  [6s, 8,764 win/s]
  ep 85  loss 0.2237 (pw 0.0026 harm 1.7734)  [6s, 8,798 win/s]
  ep 86  loss 0.2266 (pw 0.0025 harm 1.7742)  [6s, 8,792 win/s]
  ep 87  loss 0.2267 (pw 0.0026 harm 1.7824)  [6s, 8,529 win/s]
  ep 88  loss 0.2239 (pw 0.0026 harm 1.7704)  [6s, 8,592 win/s]
  ep 89  loss 0.2232 (pw 0.0025 harm 1.7717)  [6s, 8,612 win/s]
  ep 90  loss 0.2268 (pw 0.0025 harm 1.7951)  |  MAE 5.600W  F1 0.9188  저항3종 0.979  잔차 28.7W  [6s 학습 / 0s 평가, 8,628 win/s]
  ep 91  loss 0.2217 (pw 0.0025 harm 1.7566)  [6s, 8,581 win/s]
  ep 92  loss 0.2240 (pw 0.0025 harm 1.7849)  [6s, 8,613 win/s]
  ep 93  loss 0.2238 (pw 0.0025 harm 1.7768)  [6s, 8,620 win/s]
  ep 94  loss 0.2214 (pw 0.0025 harm 1.7632)  [6s, 8,600 win/s]
  ep 95  loss 0.2221 (pw 0.0025 harm 1.7679)  [6s, 8,592 win/s]
  ep 96  loss 0.2211 (pw 0.0025 harm 1.7664)  [6s, 8,602 win/s]
  ep 97  loss 0.2196 (pw 0.0024 harm 1.7706)  [6s, 8,617 win/s]
  ep 98  loss 0.2250 (pw 0.0026 harm 1.7713)  [6s, 8,581 win/s]
  ep 99  loss 0.2223 (pw 0.0025 harm 1.7797)  [6s, 8,600 win/s]
  ep100  loss 0.2233 (pw 0.0025 harm 1.7818)  |  MAE 7.311W  F1 0.9120  저항3종 0.949  잔차 30.7W  [6s 학습 / 0s 평가, 8,623 win/s]
  ep101  loss 0.2225 (pw 0.0025 harm 1.7669)  [6s, 8,620 win/s]
  ep102  loss 0.2198 (pw 0.0024 harm 1.7862)  [6s, 8,610 win/s]
  ep103  loss 0.2201 (pw 0.0023 harm 1.7936)  [6s, 8,632 win/s]
  ep104  loss 0.2198 (pw 0.0024 harm 1.7808)  [6s, 8,456 win/s]
  ep105  loss 0.2213 (pw 0.0025 harm 1.7552)  [6s, 8,580 win/s]
  ep106  loss 0.2232 (pw 0.0025 harm 1.7816)  [6s, 8,580 win/s]
  ep107  loss 0.2200 (pw 0.0024 harm 1.7651)  [6s, 8,544 win/s]
  ep108  loss 0.2189 (pw 0.0024 harm 1.7688)  [6s, 8,535 win/s]
  ep109  loss 0.2181 (pw 0.0023 harm 1.7757)  [6s, 8,530 win/s]
