====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mag1 — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.0779 (pw 0.0015 harm 0.3988)  [5s, 9,442 win/s]
  ep 59  loss 0.0805 (pw 0.0017 harm 0.4046)  [5s, 9,410 win/s]
  ep 60  loss 0.0793 (pw 0.0016 harm 0.4055)  |  MAE 3.922W  F1 0.9547  저항3종 0.995  잔차 25.1W  [5s 학습 / 0s 평가, 9,422 win/s]
  ep 61  loss 0.0777 (pw 0.0015 harm 0.4009)  [5s, 9,432 win/s]
  ep 62  loss 0.0779 (pw 0.0016 harm 0.3992)  [5s, 9,428 win/s]
  ep 63  loss 0.0772 (pw 0.0015 harm 0.3998)  [5s, 9,427 win/s]
  ep 64  loss 0.0774 (pw 0.0015 harm 0.4003)  [5s, 9,426 win/s]
  ep 65  loss 0.0769 (pw 0.0015 harm 0.4001)  [5s, 9,427 win/s]
  ep 66  loss 0.0754 (pw 0.0015 harm 0.3982)  [5s, 9,429 win/s]
  ep 67  loss 0.0768 (pw 0.0015 harm 0.4024)  [5s, 9,439 win/s]
  ep 68  loss 0.0768 (pw 0.0015 harm 0.3971)  [5s, 9,436 win/s]
  ep 69  loss 0.0772 (pw 0.0016 harm 0.3991)  [5s, 9,420 win/s]
  ep 70  loss 0.0762 (pw 0.0015 harm 0.3993)  |  MAE 4.159W  F1 0.9606  저항3종 0.988  잔차 25.5W  [5s 학습 / 0s 평가, 9,421 win/s]
  ep 71  loss 0.0749 (pw 0.0014 harm 0.3965)  [5s, 9,447 win/s]
  ep 72  loss 0.0772 (pw 0.0015 harm 0.4019)  [5s, 9,446 win/s]
  ep 73  loss 0.0736 (pw 0.0014 harm 0.3959)  [5s, 9,425 win/s]
  ep 74  loss 0.0762 (pw 0.0016 harm 0.4002)  [5s, 9,445 win/s]
  ep 75  loss 0.0749 (pw 0.0015 harm 0.4003)  [5s, 9,440 win/s]
  ep 76  loss 0.0752 (pw 0.0015 harm 0.3998)  [5s, 9,444 win/s]
  ep 77  loss 0.0752 (pw 0.0015 harm 0.3989)  [5s, 9,432 win/s]
  ep 78  loss 0.0740 (pw 0.0015 harm 0.4000)  [5s, 9,424 win/s]
  ep 79  loss 0.0736 (pw 0.0015 harm 0.3994)  [5s, 9,443 win/s]
  ep 80  loss 0.0747 (pw 0.0015 harm 0.3979)  |  MAE 3.979W  F1 0.9626  저항3종 0.991  잔차 25.7W  [5s 학습 / 0s 평가, 9,433 win/s]
  ep 81  loss 0.0752 (pw 0.0016 harm 0.3980)  [5s, 9,425 win/s]
  ep 82  loss 0.0757 (pw 0.0015 harm 0.4036)  [5s, 9,432 win/s]
  ep 83  loss 0.0735 (pw 0.0015 harm 0.3956)  [5s, 9,386 win/s]
  ep 84  loss 0.0728 (pw 0.0014 harm 0.3966)  [5s, 9,423 win/s]
  ep 85  loss 0.0716 (pw 0.0014 harm 0.3959)  [5s, 9,453 win/s]
  ep 86  loss 0.0740 (pw 0.0015 harm 0.3982)  [5s, 9,443 win/s]
  ep 87  loss 0.0736 (pw 0.0015 harm 0.3959)  [5s, 9,431 win/s]
  ep 88  loss 0.0727 (pw 0.0015 harm 0.3954)  [5s, 9,452 win/s]
  ep 89  loss 0.0715 (pw 0.0015 harm 0.3926)  [5s, 9,434 win/s]
  ep 90  loss 0.0727 (pw 0.0015 harm 0.3976)  |  MAE 3.993W  F1 0.9630  저항3종 0.991  잔차 24.5W  [5s 학습 / 0s 평가, 9,438 win/s]
