====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 170752c24955c352 | 타깃 3539/3600
모델 0.60M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60 — 독립 창 300,000개 (13.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 59  loss 0.1911 (pw 0.0011 harm 1.5981)  [5s, 9,504 win/s]
  ep 60  loss 0.1909 (pw 0.0011 harm 1.6066)  |  MAE 3.598W  F1 0.9498  저항3종 0.995  잔차 27.3W  [5s 학습 / 0s 평가, 9,517 win/s]
  ep 61  loss 0.1889 (pw 0.0011 harm 1.5993)  [5s, 9,538 win/s]
  ep 62  loss 0.1907 (pw 0.0012 harm 1.6085)  [5s, 9,522 win/s]
  ep 63  loss 0.1896 (pw 0.0011 harm 1.6033)  [5s, 9,512 win/s]
  ep 64  loss 0.1898 (pw 0.0011 harm 1.6102)  [5s, 9,537 win/s]
  ep 65  loss 0.1901 (pw 0.0011 harm 1.6065)  [5s, 9,331 win/s]
  ep 66  loss 0.1897 (pw 0.0011 harm 1.6152)  [5s, 9,315 win/s]
  ep 67  loss 0.1908 (pw 0.0010 harm 1.6299)  [5s, 9,266 win/s]
  ep 68  loss 0.1868 (pw 0.0011 harm 1.5845)  [5s, 9,321 win/s]
  ep 69  loss 0.1872 (pw 0.0011 harm 1.5801)  [5s, 9,557 win/s]
  ep 70  loss 0.1898 (pw 0.0011 harm 1.6099)  |  MAE 4.472W  F1 0.9461  저항3종 0.996  잔차 30.2W  [5s 학습 / 0s 평가, 9,526 win/s]
  ep 71  loss 0.1859 (pw 0.0011 harm 1.5900)  [5s, 9,575 win/s]
  ep 72  loss 0.1898 (pw 0.0011 harm 1.6098)  [5s, 9,550 win/s]
  ep 73  loss 0.1872 (pw 0.0010 harm 1.6159)  [5s, 9,572 win/s]
  ep 74  loss 0.1885 (pw 0.0011 harm 1.6017)  [5s, 9,447 win/s]
  ep 75  loss 0.1857 (pw 0.0011 harm 1.5849)  [5s, 9,398 win/s]
  ep 76  loss 0.1878 (pw 0.0011 harm 1.6050)  [5s, 9,356 win/s]
  ep 77  loss 0.1870 (pw 0.0011 harm 1.5957)  [5s, 9,498 win/s]
  ep 78  loss 0.1898 (pw 0.0010 harm 1.6316)  [5s, 9,500 win/s]
  ep 79  loss 0.1863 (pw 0.0010 harm 1.6040)  [5s, 9,519 win/s]
  ep 80  loss 0.1856 (pw 0.0011 harm 1.5780)  |  MAE 3.965W  F1 0.9525  저항3종 0.997  잔차 27.8W  [5s 학습 / 0s 평가, 9,515 win/s]
  ep 81  loss 0.1866 (pw 0.0011 harm 1.5940)  [5s, 9,487 win/s]
  ep 82  loss 0.1874 (pw 0.0010 harm 1.6056)  [5s, 9,523 win/s]
  ep 83  loss 0.1832 (pw 0.0010 harm 1.5754)  [5s, 9,554 win/s]
  ep 84  loss 0.1843 (pw 0.0010 harm 1.5898)  [5s, 9,562 win/s]
  ep 85  loss 0.1827 (pw 0.0010 harm 1.5780)  [5s, 9,529 win/s]
  ep 86  loss 0.1850 (pw 0.0010 harm 1.5897)  [5s, 9,369 win/s]
  ep 87  loss 0.1873 (pw 0.0011 harm 1.6062)  [5s, 9,496 win/s]
  ep 88  loss 0.1849 (pw 0.0010 harm 1.5970)  [5s, 9,586 win/s]
  ep 89  loss 0.1850 (pw 0.0010 harm 1.6001)  [5s, 9,537 win/s]
  ep 90  loss 0.1864 (pw 0.0010 harm 1.6163)  |  MAE 3.626W  F1 0.9535  저항3종 0.997  잔차 27.3W  [5s 학습 / 0s 평가, 9,205 win/s]
  ep 91  loss 0.1828 (pw 0.0010 harm 1.5819)  [5s, 9,580 win/s]
  ep 92  loss 0.1818 (pw 0.0010 harm 1.5731)  [5s, 9,391 win/s]
  ep 93  loss 0.1844 (pw 0.0010 harm 1.5950)  [5s, 9,269 win/s]
  ep 94  loss 0.1817 (pw 0.0010 harm 1.5698)  [5s, 9,815 win/s]
  ep 95  loss 0.1836 (pw 0.0010 harm 1.6011)  [5s, 9,713 win/s]
  ep 96  loss 0.1819 (pw 0.0010 harm 1.5798)  [5s, 9,661 win/s]
  ep 97  loss 0.1801 (pw 0.0009 harm 1.5783)  [5s, 9,386 win/s]
  ep 98  loss 0.1833 (pw 0.0010 harm 1.5875)  [5s, 9,326 win/s]
  ep 99  loss 0.1851 (pw 0.0010 harm 1.6127)  [5s, 9,184 win/s]
  ep100  loss 0.1836 (pw 0.0010 harm 1.5965)  |  MAE 3.261W  F1 0.9550  저항3종 0.997  잔차 25.4W  [5s 학습 / 0s 평가, 9,556 win/s]
  ep101  loss 0.1844 (pw 0.0010 harm 1.6057)  [5s, 9,545 win/s]
  ep102  loss 0.1821 (pw 0.0009 harm 1.5958)  [5s, 9,467 win/s]
  ep103  loss 0.1821 (pw 0.0009 harm 1.6038)  [5s, 9,399 win/s]
  ep104  loss 0.1783 (pw 0.0009 harm 1.5589)  [5s, 9,496 win/s]
  ep105  loss 0.1824 (pw 0.0010 harm 1.5842)  [5s, 9,777 win/s]
  ep106  loss 0.1843 (pw 0.0010 harm 1.6037)  [5s, 9,421 win/s]
  ep107  loss 0.1816 (pw 0.0009 harm 1.5909)  [5s, 9,484 win/s]
  ep108  loss 0.1806 (pw 0.0009 harm 1.5802)  [5s, 9,454 win/s]
  ep109  loss 0.1825 (pw 0.0009 harm 1.6075)  [5s, 9,508 win/s]
  ep110  loss 0.1810 (pw 0.0010 harm 1.5786)  |  MAE 3.670W  F1 0.9538  저항3종 0.997  잔차 28.5W  [5s 학습 / 0s 평가, 9,600 win/s]
  ep111  loss 0.1819 (pw 0.0010 harm 1.5922)  [5s, 9,526 win/s]
  ep112  loss 0.1814 (pw 0.0010 harm 1.5885)  [5s, 9,190 win/s]
  ep113  loss 0.1810 (pw 0.0010 harm 1.5836)  [5s, 9,472 win/s]
  ep114  loss 0.1828 (pw 0.0009 harm 1.6048)  [5s, 9,281 win/s]
  ep115  loss 0.1832 (pw 0.0010 harm 1.6062)  [6s, 8,873 win/s]
  ep116  loss 0.1811 (pw 0.0009 harm 1.5987)  [6s, 9,016 win/s]
  ep117  loss 0.1823 (pw 0.0009 harm 1.6002)  [6s, 8,967 win/s]
  ep118  loss 0.1803 (pw 0.0009 harm 1.5821)  [6s, 8,746 win/s]
  ep119  loss 0.1777 (pw 0.0009 harm 1.5715)  [6s, 8,746 win/s]
  ep120  loss 0.1794 (pw 0.0009 harm 1.5786)  |  MAE 3.272W  F1 0.9542  저항3종 0.997  잔차 26.1W  [6s 학습 / 0s 평가, 8,813 win/s]
  ep121  loss 0.1798 (pw 0.0009 harm 1.5880)  [6s, 8,796 win/s]
  ep122  loss 0.1844 (pw 0.0009 harm 1.6231)  [6s, 8,795 win/s]
  ep123  loss 0.1823 (pw 0.0009 harm 1.6150)  [6s, 8,791 win/s]
  ep124  loss 0.1807 (pw 0.0009 harm 1.6056)  [6s, 8,798 win/s]
  ep125  loss 0.1818 (pw 0.0009 harm 1.6093)  [6s, 8,772 win/s]
  ep126  loss 0.1782 (pw 0.0009 harm 1.5806)  [6s, 8,725 win/s]
  ep127  loss 0.1810 (pw 0.0009 harm 1.6005)  [6s, 8,729 win/s]
  ep128  loss 0.1805 (pw 0.0009 harm 1.6067)  [5s, 9,108 win/s]
  ep129  loss 0.1766 (pw 0.0009 harm 1.5654)  [5s, 9,790 win/s]
  ep130  loss 0.1797 (pw 0.0009 harm 1.5906)  |  MAE 3.443W  F1 0.9554  저항3종 0.997  잔차 26.3W  [5s 학습 / 0s 평가, 9,661 win/s]
  ep131  loss 0.1799 (pw 0.0009 harm 1.6095)  [5s, 9,879 win/s]
  ep132  loss 0.1801 (pw 0.0009 harm 1.6058)  [5s, 9,889 win/s]
  ep133  loss 0.1823 (pw 0.0009 harm 1.6229)  [5s, 9,889 win/s]
  ep134  loss 0.1789 (pw 0.0009 harm 1.6025)  [5s, 9,882 win/s]
  ep135  loss 0.1797 (pw 0.0009 harm 1.5880)  [5s, 9,893 win/s]
  ep136  loss 0.1782 (pw 0.0009 harm 1.5780)  [5s, 9,899 win/s]
  ep137  loss 0.1795 (pw 0.0009 harm 1.5958)  [5s, 9,887 win/s]
  ep138  loss 0.1772 (pw 0.0009 harm 1.5741)  [5s, 9,650 win/s]
  ep139  loss 0.1748 (pw 0.0008 harm 1.5646)  [5s, 9,404 win/s]
  ep140  loss 0.1766 (pw 0.0008 harm 1.5903)  |  MAE 3.212W  F1 0.9554  저항3종 0.998  잔차 25.3W  [5s 학습 / 0s 평가, 9,105 win/s]
  ep141  loss 0.1786 (pw 0.0009 harm 1.5852)  [5s, 9,662 win/s]
  ep142  loss 0.1791 (pw 0.0009 harm 1.5980)  [5s, 9,654 win/s]
  ep143  loss 0.1787 (pw 0.0009 harm 1.5881)  [5s, 9,651 win/s]
  ep144  loss 0.1752 (pw 0.0009 harm 1.5706)  [5s, 9,661 win/s]
  ep145  loss 0.1791 (pw 0.0009 harm 1.6054)  [5s, 9,639 win/s]
  ep146  loss 0.1779 (pw 0.0009 harm 1.5912)  [5s, 9,660 win/s]
  ep147  loss 0.1771 (pw 0.0009 harm 1.5857)  [5s, 9,363 win/s]
  ep148  loss 0.1786 (pw 0.0008 harm 1.6095)  [5s, 9,281 win/s]
  ep149  loss 0.1750 (pw 0.0008 harm 1.5729)  [5s, 9,403 win/s]
  ep150  loss 0.1771 (pw 0.0008 harm 1.5924)  |  MAE 3.225W  F1 0.9539  저항3종 0.998  잔차 25.6W  [6s 학습 / 0s 평가, 9,063 win/s]
  ep151  loss 0.1790 (pw 0.0009 harm 1.5990)  [6s, 8,860 win/s]
  ep152  loss 0.1764 (pw 0.0008 harm 1.5823)  [6s, 8,921 win/s]
  ep153  loss 0.1785 (pw 0.0008 harm 1.6094)  [6s, 8,868 win/s]
  ep154  loss 0.1771 (pw 0.0008 harm 1.5996)  [5s, 9,259 win/s]
  ep155  loss 0.1739 (pw 0.0008 harm 1.5645)  [5s, 9,548 win/s]
  ep156  loss 0.1789 (pw 0.0009 harm 1.5897)  [5s, 9,521 win/s]
  ep157  loss 0.1760 (pw 0.0008 harm 1.5852)  [5s, 9,438 win/s]
  ep158  loss 0.1792 (pw 0.0009 harm 1.5908)  [5s, 9,551 win/s]
  ep159  loss 0.1773 (pw 0.0009 harm 1.5915)  [5s, 9,766 win/s]
  ep160  loss 0.1751 (pw 0.0009 harm 1.5754)  |  MAE 3.156W  F1 0.9579  저항3종 0.998  잔차 25.5W  [5s 학습 / 0s 평가, 9,197 win/s]
  ep161  loss 0.1761 (pw 0.0008 harm 1.5828)  [5s, 9,150 win/s]
  ep162  loss 0.1764 (pw 0.0008 harm 1.5941)  [5s, 9,440 win/s]
  ep163  loss 0.1776 (pw 0.0009 harm 1.5984)  [5s, 9,586 win/s]
  ep164  loss 0.1773 (pw 0.0009 harm 1.5909)  [5s, 9,484 win/s]
  ep165  loss 0.1790 (pw 0.0009 harm 1.6127)  [5s, 9,413 win/s]
  ep166  loss 0.1778 (pw 0.0008 harm 1.6114)  [5s, 9,606 win/s]
  ep167  loss 0.1770 (pw 0.0008 harm 1.5887)  [5s, 9,596 win/s]
