### [fd0.2] 1단계 Sat Aug 22 20:40:22     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 62  loss 0.1914 (pw 0.0020 harm 1.4469)  [5s, 9,829 win/s]
  ep 63  loss 0.1927 (pw 0.0020 harm 1.4665)  [5s, 9,784 win/s]
  ep 64  loss 0.1884 (pw 0.0019 harm 1.4334)  [5s, 9,811 win/s]
  ep 65  loss 0.1911 (pw 0.0019 harm 1.4505)  [5s, 9,687 win/s]
  ep 66  loss 0.1881 (pw 0.0019 harm 1.4371)  [5s, 9,676 win/s]
  ep 67  loss 0.1883 (pw 0.0019 harm 1.4312)  [5s, 9,492 win/s]
  ep 68  loss 0.1920 (pw 0.0019 harm 1.4685)  [5s, 9,674 win/s]
  ep 69  loss 0.1923 (pw 0.0020 harm 1.4685)  [5s, 9,746 win/s]
  ep 70  loss 0.1899 (pw 0.0019 harm 1.4552)  [5s, 9,613 win/s]
  ep 71  loss 0.1914 (pw 0.0018 harm 1.4738)  [5s, 9,795 win/s]
  ep 72  loss 0.1905 (pw 0.0020 harm 1.4581)  [5s, 9,802 win/s]
  ep 73  loss 0.1869 (pw 0.0018 harm 1.4422)  [5s, 9,789 win/s]
  ep 74  loss 0.1918 (pw 0.0019 harm 1.4756)  [5s, 9,800 win/s]
  ep 75  loss 0.1927 (pw 0.0019 harm 1.4918)  [5s, 9,795 win/s]
  ep 76  loss 0.1885 (pw 0.0019 harm 1.4499)  [5s, 9,794 win/s]
  ep 77  loss 0.1907 (pw 0.0019 harm 1.4721)  [5s, 9,817 win/s]
  ep 78  loss 0.1869 (pw 0.0019 harm 1.4351)  [5s, 9,803 win/s]
  ep 79  loss 0.1889 (pw 0.0018 harm 1.4646)  [5s, 9,802 win/s]
  ep 80  loss 0.1903 (pw 0.0019 harm 1.4668)  [5s, 9,794 win/s]
  ep 81  loss 0.1871 (pw 0.0019 harm 1.4411)  [5s, 9,805 win/s]
  ep 82  loss 0.1868 (pw 0.0019 harm 1.4405)  [5s, 9,789 win/s]
  ep 83  loss 0.1902 (pw 0.0019 harm 1.4788)  [5s, 9,807 win/s]
  ep 84  loss 0.1885 (pw 0.0018 harm 1.4679)  [5s, 9,781 win/s]
  ep 85  loss 0.1880 (pw 0.0018 harm 1.4640)  [5s, 9,807 win/s]
  ep 86  loss 0.1872 (pw 0.0018 harm 1.4552)  [5s, 9,783 win/s]
  ep 87  loss 0.1878 (pw 0.0019 harm 1.4555)  [5s, 9,801 win/s]
  ep 88  loss 0.1885 (pw 0.0019 harm 1.4676)  [5s, 9,810 win/s]
  ep 89  loss 0.1852 (pw 0.0018 harm 1.4357)  [5s, 9,820 win/s]
  ep 90  loss 0.1848 (pw 0.0018 harm 1.4417)  [5s, 9,792 win/s]
  ep 91  loss 0.1872 (pw 0.0018 harm 1.4695)  [5s, 9,772 win/s]
  ep 92  loss 0.1867 (pw 0.0018 harm 1.4629)  [5s, 9,802 win/s]
  ep 93  loss 0.1880 (pw 0.0018 harm 1.4703)  [5s, 9,797 win/s]
  ep 94  loss 0.1869 (pw 0.0017 harm 1.4672)  [5s, 9,788 win/s]
  ep 95  loss 0.1836 (pw 0.0018 harm 1.4337)  [5s, 9,774 win/s]
  ep 96  loss 0.1873 (pw 0.0018 harm 1.4743)  [5s, 9,782 win/s]
  ep 97  loss 0.1845 (pw 0.0018 harm 1.4538)  [5s, 9,599 win/s]
  ep 98  loss 0.1883 (pw 0.0017 harm 1.4732)  [5s, 9,812 win/s]
  ep 99  loss 0.1843 (pw 0.0017 harm 1.4484)  [5s, 9,770 win/s]
  ep100  loss 0.1860 (pw 0.0017 harm 1.4654)  |  MAE 3.487W  F1 0.9705  저항3종 1.000  잔차 26.9W  [5s 학습 / 0s 평가, 9,727 win/s]
  ep101  loss 0.1860 (pw 0.0017 harm 1.4614)  [5s, 9,581 win/s]
  ep102  loss 0.1871 (pw 0.0017 harm 1.4815)  [6s, 9,069 win/s]
  ep103  loss 0.1838 (pw 0.0017 harm 1.4591)  [5s, 9,593 win/s]
  ep104  loss 0.1850 (pw 0.0017 harm 1.4623)  [5s, 9,540 win/s]
  ep105  loss 0.1850 (pw 0.0017 harm 1.4571)  [5s, 9,650 win/s]
