====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 5989000e5832ef1b | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ac — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 57  loss 0.1010 (pw 0.0044 harm 0.4929)  [5s, 9,507 win/s]
  ep 58  loss 0.1011 (pw 0.0045 harm 0.4974)  [5s, 9,611 win/s]
  ep 59  loss 0.1024 (pw 0.0045 harm 0.4959)  [5s, 9,602 win/s]
  ep 60  loss 0.1009 (pw 0.0044 harm 0.4977)  |  MAE 5.326W  F1 0.9643  저항3종 0.993  잔차 26.8W  [5s 학습 / 0s 평가, 9,623 win/s]
  ep 61  loss 0.0995 (pw 0.0045 harm 0.4950)  [5s, 9,625 win/s]
  ep 62  loss 0.0998 (pw 0.0045 harm 0.4942)  [5s, 9,612 win/s]
  ep 63  loss 0.1002 (pw 0.0045 harm 0.4967)  [5s, 9,633 win/s]
  ep 64  loss 0.0985 (pw 0.0044 harm 0.4910)  [5s, 9,601 win/s]
  ep 65  loss 0.0989 (pw 0.0045 harm 0.4960)  [5s, 9,688 win/s]
  ep 66  loss 0.0973 (pw 0.0044 harm 0.4920)  [5s, 9,643 win/s]
  ep 67  loss 0.0976 (pw 0.0045 harm 0.4927)  [5s, 9,646 win/s]
  ep 68  loss 0.1003 (pw 0.0047 harm 0.4989)  [5s, 9,648 win/s]
  ep 69  loss 0.0985 (pw 0.0045 harm 0.4908)  [5s, 9,648 win/s]
  ep 70  loss 0.0984 (pw 0.0046 harm 0.4940)  |  MAE 5.986W  F1 0.9523  저항3종 0.989  잔차 26.3W  [5s 학습 / 0s 평가, 9,614 win/s]
  ep 71  loss 0.0968 (pw 0.0046 harm 0.4955)  [5s, 9,643 win/s]
  ep 72  loss 0.0977 (pw 0.0045 harm 0.4942)  [5s, 9,683 win/s]
  ep 73  loss 0.0957 (pw 0.0045 harm 0.4928)  [5s, 9,659 win/s]
  ep 74  loss 0.0971 (pw 0.0045 harm 0.4919)  [5s, 9,633 win/s]
  ep 75  loss 0.0972 (pw 0.0046 harm 0.4917)  [5s, 9,657 win/s]
  ep 76  loss 0.0956 (pw 0.0045 harm 0.4882)  [5s, 9,673 win/s]
  ep 77  loss 0.0954 (pw 0.0044 harm 0.4919)  [5s, 9,601 win/s]
  ep 78  loss 0.0945 (pw 0.0045 harm 0.4914)  [5s, 9,644 win/s]
  ep 79  loss 0.0942 (pw 0.0045 harm 0.4906)  [5s, 9,664 win/s]
  ep 80  loss 0.0960 (pw 0.0045 harm 0.4896)  |  MAE 4.648W  F1 0.9609  저항3종 0.992  잔차 24.7W  [5s 학습 / 0s 평가, 9,686 win/s]
  ep 81  loss 0.0956 (pw 0.0046 harm 0.4844)  [5s, 9,638 win/s]
  ep 82  loss 0.0961 (pw 0.0046 harm 0.4872)  [5s, 9,663 win/s]
  ep 83  loss 0.0947 (pw 0.0045 harm 0.4918)  [5s, 9,667 win/s]
  ep 84  loss 0.0934 (pw 0.0045 harm 0.4883)  [5s, 9,593 win/s]
  ep 85  loss 0.0926 (pw 0.0045 harm 0.4898)  [5s, 9,663 win/s]
  ep 86  loss 0.0948 (pw 0.0046 harm 0.4854)  [5s, 9,676 win/s]
  ep 87  loss 0.0947 (pw 0.0047 harm 0.4897)  [5s, 9,665 win/s]
  ep 88  loss 0.0932 (pw 0.0045 harm 0.4889)  [5s, 9,642 win/s]
  ep 89  loss 0.0924 (pw 0.0045 harm 0.4848)  [5s, 9,630 win/s]
  ep 90  loss 0.0929 (pw 0.0046 harm 0.4885)  |  MAE 4.022W  F1 0.9690  저항3종 0.995  잔차 22.6W  [5s 학습 / 0s 평가, 9,657 win/s]
  ep 91  loss 0.0925 (pw 0.0045 harm 0.4867)  [5s, 9,626 win/s]
  ep 92  loss 0.0914 (pw 0.0044 harm 0.4854)  [5s, 9,615 win/s]
  ep 93  loss 0.0915 (pw 0.0045 harm 0.4827)  [5s, 9,660 win/s]
  ep 94  loss 0.0908 (pw 0.0045 harm 0.4837)  [5s, 9,657 win/s]
  ep 95  loss 0.0912 (pw 0.0045 harm 0.4840)  [5s, 9,633 win/s]
  ep 96  loss 0.0904 (pw 0.0045 harm 0.4874)  [5s, 9,620 win/s]
  ep 97  loss 0.0889 (pw 0.0044 harm 0.4853)  [5s, 9,612 win/s]
  ep 98  loss 0.0927 (pw 0.0047 harm 0.4870)  [5s, 9,622 win/s]
  ep 99  loss 0.0902 (pw 0.0045 harm 0.4843)  [5s, 9,651 win/s]
  ep100  loss 0.0908 (pw 0.0045 harm 0.4824)  |  MAE 4.991W  F1 0.9705  저항3종 0.988  잔차 24.7W  [5s 학습 / 0s 평가, 9,632 win/s]
  ep101  loss 0.0919 (pw 0.0047 harm 0.4874)  [5s, 9,631 win/s]
  ep102  loss 0.0882 (pw 0.0045 harm 0.4865)  [5s, 9,631 win/s]
  ep103  loss 0.0873 (pw 0.0044 harm 0.4869)  [5s, 9,620 win/s]
  ep104  loss 0.0883 (pw 0.0045 harm 0.4825)  [5s, 9,620 win/s]
  ep105  loss 0.0911 (pw 0.0046 harm 0.4820)  [5s, 9,605 win/s]
  ep106  loss 0.0914 (pw 0.0047 harm 0.4818)  [5s, 9,649 win/s]
  ep107  loss 0.0899 (pw 0.0046 harm 0.4828)  [5s, 9,625 win/s]
  ep108  loss 0.0881 (pw 0.0045 harm 0.4812)  [5s, 9,633 win/s]
  ep109  loss 0.0872 (pw 0.0045 harm 0.4847)  [5s, 9,646 win/s]
  ep110  loss 0.0897 (pw 0.0047 harm 0.4829)  |  MAE 4.136W  F1 0.9671  저항3종 0.994  잔차 23.7W  [5s 학습 / 0s 평가, 9,645 win/s]
  ep111  loss 0.0901 (pw 0.0047 harm 0.4834)  [5s, 9,617 win/s]
  ep112  loss 0.0888 (pw 0.0047 harm 0.4794)  [5s, 9,615 win/s]
  ep113  loss 0.0887 (pw 0.0046 harm 0.4799)  [5s, 9,655 win/s]
  ep114  loss 0.0880 (pw 0.0046 harm 0.4780)  [5s, 9,636 win/s]
  ep115  loss 0.0885 (pw 0.0046 harm 0.4815)  [5s, 9,639 win/s]
  ep116  loss 0.0881 (pw 0.0046 harm 0.4830)  [5s, 9,653 win/s]
  ep117  loss 0.0875 (pw 0.0046 harm 0.4778)  [5s, 9,660 win/s]
  ep118  loss 0.0875 (pw 0.0046 harm 0.4773)  [5s, 9,526 win/s]
  ep119  loss 0.0861 (pw 0.0045 harm 0.4825)  [5s, 9,625 win/s]
  ep120  loss 0.0864 (pw 0.0047 harm 0.4790)  |  MAE 5.382W  F1 0.9634  저항3종 0.984  잔차 26.6W  [5s 학습 / 0s 평가, 9,673 win/s]
  ep121  loss 0.0857 (pw 0.0046 harm 0.4778)  [5s, 9,674 win/s]
  ep122  loss 0.0875 (pw 0.0046 harm 0.4761)  [5s, 9,606 win/s]
  ep123  loss 0.0863 (pw 0.0046 harm 0.4789)  [5s, 9,650 win/s]
  ep124  loss 0.0855 (pw 0.0046 harm 0.4798)  [5s, 9,644 win/s]
  ep125  loss 0.0860 (pw 0.0047 harm 0.4816)  [5s, 9,589 win/s]
  ep126  loss 0.0858 (pw 0.0047 harm 0.4809)  [5s, 9,651 win/s]
  ep127  loss 0.0880 (pw 0.0047 harm 0.4809)  [5s, 9,645 win/s]
  ep128  loss 0.0862 (pw 0.0046 harm 0.4807)  [5s, 9,663 win/s]
  ep129  loss 0.0852 (pw 0.0046 harm 0.4794)  [5s, 9,638 win/s]
  ep130  loss 0.0846 (pw 0.0046 harm 0.4742)  |  MAE 5.567W  F1 0.9599  저항3종 0.978  잔차 26.5W  [5s 학습 / 0s 평가, 9,639 win/s]
  ep131  loss 0.0836 (pw 0.0046 harm 0.4809)  [5s, 9,626 win/s]
  ep132  loss 0.0843 (pw 0.0045 harm 0.4777)  [5s, 9,626 win/s]
  ep133  loss 0.0844 (pw 0.0046 harm 0.4789)  [5s, 9,626 win/s]
