====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ovh — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 59  loss 0.1099 (pw 0.0046 harm 0.4989)  [6s, 8,708 win/s]
  ep 60  loss 0.1081 (pw 0.0044 harm 0.5008)  |  MAE 4.392W  F1 0.9232  저항3종 0.993  잔차 25.7W  [6s 학습 / 0s 평가, 8,608 win/s]
  ep 61  loss 0.1073 (pw 0.0045 harm 0.4979)  [6s, 8,693 win/s]
  ep 62  loss 0.1085 (pw 0.0044 harm 0.4981)  [6s, 8,665 win/s]
  ep 63  loss 0.1069 (pw 0.0045 harm 0.4960)  [6s, 8,580 win/s]
  ep 64  loss 0.1071 (pw 0.0044 harm 0.4974)  [6s, 8,594 win/s]
  ep 65  loss 0.1070 (pw 0.0045 harm 0.4980)  [6s, 8,646 win/s]
  ep 66  loss 0.1049 (pw 0.0044 harm 0.4965)  [6s, 8,587 win/s]
  ep 67  loss 0.1051 (pw 0.0043 harm 0.4983)  [6s, 8,521 win/s]
  ep 68  loss 0.1064 (pw 0.0045 harm 0.4941)  [6s, 8,707 win/s]
  ep 69  loss 0.1066 (pw 0.0045 harm 0.4968)  [6s, 8,730 win/s]
  ep 70  loss 0.1055 (pw 0.0045 harm 0.4926)  |  MAE 3.868W  F1 0.9233  저항3종 0.991  잔차 24.1W  [6s 학습 / 0s 평가, 8,575 win/s]
  ep 71  loss 0.1041 (pw 0.0044 harm 0.4935)  [6s, 8,671 win/s]
  ep 72  loss 0.1054 (pw 0.0045 harm 0.4968)  [6s, 8,685 win/s]
  ep 73  loss 0.1031 (pw 0.0044 harm 0.4919)  [6s, 8,584 win/s]
  ep 74  loss 0.1048 (pw 0.0045 harm 0.4941)  [6s, 8,601 win/s]
  ep 75  loss 0.1034 (pw 0.0044 harm 0.4922)  [6s, 8,604 win/s]
  ep 76  loss 0.1039 (pw 0.0044 harm 0.4942)  [6s, 8,620 win/s]
  ep 77  loss 0.1029 (pw 0.0044 harm 0.4948)  [6s, 8,388 win/s]
  ep 78  loss 0.1018 (pw 0.0044 harm 0.4949)  [6s, 8,655 win/s]
  ep 79  loss 0.1004 (pw 0.0043 harm 0.4906)  [6s, 8,730 win/s]
  ep 80  loss 0.1029 (pw 0.0045 harm 0.4927)  |  MAE 4.334W  F1 0.9237  저항3종 0.991  잔차 24.6W  [6s 학습 / 0s 평가, 8,356 win/s]
  ep 81  loss 0.1031 (pw 0.0044 harm 0.4905)  [6s, 7,982 win/s]
  ep 82  loss 0.1021 (pw 0.0045 harm 0.4891)  [6s, 8,456 win/s]
  ep 83  loss 0.1009 (pw 0.0044 harm 0.4883)  [6s, 8,576 win/s]
  ep 84  loss 0.1009 (pw 0.0045 harm 0.4928)  [6s, 8,503 win/s]
  ep 85  loss 0.1003 (pw 0.0045 harm 0.4900)  [6s, 8,500 win/s]
  ep 86  loss 0.1021 (pw 0.0044 harm 0.4900)  [6s, 8,173 win/s]
  ep 87  loss 0.1013 (pw 0.0045 harm 0.4906)  [6s, 7,788 win/s]
  ep 88  loss 0.0996 (pw 0.0045 harm 0.4870)  [6s, 8,413 win/s]
  ep 89  loss 0.0987 (pw 0.0044 harm 0.4856)  [6s, 8,703 win/s]
  ep 90  loss 0.0996 (pw 0.0044 harm 0.4904)  |  MAE 3.850W  F1 0.9271  저항3종 0.995  잔차 24.2W  [6s 학습 / 0s 평가, 8,425 win/s]
  ep 91  loss 0.0991 (pw 0.0045 harm 0.4892)  [6s, 8,612 win/s]
  ep 92  loss 0.0982 (pw 0.0045 harm 0.4892)  [6s, 8,713 win/s]
  ep 93  loss 0.0990 (pw 0.0044 harm 0.4883)  [6s, 8,508 win/s]
  ep 94  loss 0.0983 (pw 0.0045 harm 0.4886)  [6s, 8,480 win/s]
  ep 95  loss 0.0978 (pw 0.0044 harm 0.4864)  [6s, 8,604 win/s]
  ep 96  loss 0.0976 (pw 0.0044 harm 0.4892)  [6s, 8,608 win/s]
  ep 97  loss 0.0954 (pw 0.0043 harm 0.4880)  [6s, 8,371 win/s]
  ep 98  loss 0.0994 (pw 0.0045 harm 0.4862)  [6s, 8,621 win/s]
  ep 99  loss 0.0970 (pw 0.0044 harm 0.4880)  [6s, 8,503 win/s]
  ep100  loss 0.0972 (pw 0.0045 harm 0.4848)  |  MAE 4.054W  F1 0.9233  저항3종 0.990  잔차 25.3W  [6s 학습 / 0s 평가, 8,420 win/s]
  ep101  loss 0.0985 (pw 0.0045 harm 0.4885)  [6s, 8,596 win/s]
  ep102  loss 0.0945 (pw 0.0043 harm 0.4874)  [6s, 8,716 win/s]
  ep103  loss 0.0934 (pw 0.0043 harm 0.4861)  [6s, 8,507 win/s]
  ep104  loss 0.0949 (pw 0.0044 harm 0.4853)  [6s, 8,366 win/s]
  ep105  loss 0.0981 (pw 0.0046 harm 0.4849)  [6s, 8,571 win/s]
  ep106  loss 0.0975 (pw 0.0045 harm 0.4850)  [6s, 8,527 win/s]
  ep107  loss 0.0961 (pw 0.0044 harm 0.4829)  [6s, 8,619 win/s]
  ep108  loss 0.0947 (pw 0.0044 harm 0.4843)  [6s, 8,754 win/s]
  ep109  loss 0.0930 (pw 0.0044 harm 0.4864)  [6s, 8,742 win/s]
  ep110  loss 0.0952 (pw 0.0045 harm 0.4841)  |  MAE 3.683W  F1 0.9277  저항3종 0.995  잔차 24.0W  [6s 학습 / 0s 평가, 8,716 win/s]
  ep111  loss 0.0956 (pw 0.0045 harm 0.4848)  [6s, 8,703 win/s]
  ep112  loss 0.0959 (pw 0.0044 harm 0.4849)  [6s, 8,764 win/s]
  ep113  loss 0.0965 (pw 0.0045 harm 0.4823)  [6s, 8,739 win/s]
  ep114  loss 0.0950 (pw 0.0045 harm 0.4828)  [6s, 8,667 win/s]
  ep115  loss 0.0951 (pw 0.0044 harm 0.4841)  [6s, 8,729 win/s]
  ep116  loss 0.0946 (pw 0.0044 harm 0.4824)  [6s, 8,724 win/s]
