====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psresistive — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.2311 (pw 0.0025 harm 1.7686)  [6s, 8,441 win/s]
  ep 59  loss 0.2321 (pw 0.0026 harm 1.7749)  [6s, 8,328 win/s]
  ep 60  loss 0.2331 (pw 0.0025 harm 1.7987)  |  MAE 3.664W  F1 0.9270  저항3종 0.993  잔차 25.2W  [6s 학습 / 0s 평가, 8,561 win/s]
  ep 61  loss 0.2316 (pw 0.0025 harm 1.7820)  [6s, 8,656 win/s]
  ep 62  loss 0.2306 (pw 0.0025 harm 1.7641)  [6s, 8,646 win/s]
  ep 63  loss 0.2302 (pw 0.0025 harm 1.7741)  [6s, 8,554 win/s]
  ep 64  loss 0.2316 (pw 0.0025 harm 1.7849)  [6s, 8,545 win/s]
  ep 65  loss 0.2319 (pw 0.0026 harm 1.7893)  [6s, 8,405 win/s]
  ep 66  loss 0.2285 (pw 0.0024 harm 1.7806)  [6s, 8,460 win/s]
  ep 67  loss 0.2313 (pw 0.0024 harm 1.8074)  [6s, 8,533 win/s]
  ep 68  loss 0.2301 (pw 0.0025 harm 1.7799)  [6s, 8,865 win/s]
  ep 69  loss 0.2298 (pw 0.0025 harm 1.7776)  [6s, 8,964 win/s]
  ep 70  loss 0.2288 (pw 0.0025 harm 1.7708)  |  MAE 3.835W  F1 0.9238  저항3종 0.988  잔차 24.6W  [6s 학습 / 0s 평가, 8,972 win/s]
  ep 71  loss 0.2273 (pw 0.0025 harm 1.7745)  [6s, 8,963 win/s]
  ep 72  loss 0.2295 (pw 0.0025 harm 1.7791)  [6s, 8,985 win/s]
  ep 73  loss 0.2278 (pw 0.0024 harm 1.7878)  [6s, 8,985 win/s]
  ep 74  loss 0.2278 (pw 0.0025 harm 1.7670)  [6s, 8,974 win/s]
  ep 75  loss 0.2261 (pw 0.0024 harm 1.7686)  [6s, 8,969 win/s]
  ep 76  loss 0.2281 (pw 0.0024 harm 1.7729)  [6s, 8,976 win/s]
  ep 77  loss 0.2260 (pw 0.0024 harm 1.7697)  [6s, 8,964 win/s]
  ep 78  loss 0.2261 (pw 0.0024 harm 1.7748)  [6s, 8,964 win/s]
  ep 79  loss 0.2245 (pw 0.0024 harm 1.7660)  [6s, 8,969 win/s]
  ep 80  loss 0.2273 (pw 0.0025 harm 1.7835)  |  MAE 3.788W  F1 0.9262  저항3종 0.993  잔차 24.9W  [6s 학습 / 0s 평가, 8,966 win/s]
  ep 81  loss 0.2256 (pw 0.0024 harm 1.7608)  [6s, 8,939 win/s]
  ep 82  loss 0.2236 (pw 0.0025 harm 1.7482)  [6s, 8,878 win/s]
  ep 83  loss 0.2253 (pw 0.0024 harm 1.7759)  [6s, 8,949 win/s]
  ep 84  loss 0.2238 (pw 0.0024 harm 1.7657)  [6s, 8,962 win/s]
  ep 85  loss 0.2231 (pw 0.0024 harm 1.7694)  [6s, 8,971 win/s]
  ep 86  loss 0.2254 (pw 0.0023 harm 1.7726)  [6s, 8,962 win/s]
  ep 87  loss 0.2261 (pw 0.0024 harm 1.7838)  [6s, 8,973 win/s]
  ep 88  loss 0.2231 (pw 0.0024 harm 1.7663)  [6s, 8,969 win/s]
  ep 89  loss 0.2230 (pw 0.0024 harm 1.7672)  [6s, 8,964 win/s]
  ep 90  loss 0.2251 (pw 0.0023 harm 1.7938)  |  MAE 3.776W  F1 0.9270  저항3종 0.990  잔차 25.5W  [6s 학습 / 0s 평가, 8,975 win/s]
  ep 91  loss 0.2213 (pw 0.0024 harm 1.7544)  [6s, 8,975 win/s]
  ep 92  loss 0.2223 (pw 0.0023 harm 1.7809)  [6s, 8,967 win/s]
  ep 93  loss 0.2234 (pw 0.0024 harm 1.7735)  [6s, 8,968 win/s]
  ep 94  loss 0.2207 (pw 0.0023 harm 1.7614)  [6s, 8,955 win/s]
  ep 95  loss 0.2210 (pw 0.0024 harm 1.7655)  [6s, 8,962 win/s]
  ep 96  loss 0.2206 (pw 0.0024 harm 1.7646)  [6s, 8,964 win/s]
  ep 97  loss 0.2188 (pw 0.0023 harm 1.7699)  [6s, 8,956 win/s]
  ep 98  loss 0.2233 (pw 0.0024 harm 1.7726)  [6s, 8,981 win/s]
  ep 99  loss 0.2210 (pw 0.0023 harm 1.7781)  [6s, 8,986 win/s]
  ep100  loss 0.2216 (pw 0.0024 harm 1.7772)  |  MAE 3.640W  F1 0.9270  저항3종 0.991  잔차 25.6W  [6s 학습 / 0s 평가, 8,959 win/s]
  ep101  loss 0.2214 (pw 0.0023 harm 1.7690)  [6s, 8,963 win/s]
  ep102  loss 0.2194 (pw 0.0022 harm 1.7848)  [6s, 8,960 win/s]
  ep103  loss 0.2198 (pw 0.0022 harm 1.7929)  [6s, 8,967 win/s]
  ep104  loss 0.2185 (pw 0.0022 harm 1.7776)  [6s, 8,954 win/s]
  ep105  loss 0.2196 (pw 0.0023 harm 1.7534)  [6s, 8,961 win/s]
  ep106  loss 0.2228 (pw 0.0024 harm 1.7800)  [6s, 8,960 win/s]
  ep107  loss 0.2191 (pw 0.0023 harm 1.7624)  [6s, 8,961 win/s]
  ep108  loss 0.2182 (pw 0.0022 harm 1.7655)  [6s, 8,961 win/s]
  ep109  loss 0.2173 (pw 0.0022 harm 1.7731)  [6s, 8,984 win/s]
  ep110  loss 0.2183 (pw 0.0023 harm 1.7620)  |  MAE 3.355W  F1 0.9293  저항3종 0.994  잔차 25.0W  [6s 학습 / 0s 평가, 8,994 win/s]
