====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_even — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 59  loss 0.3751 (pw 0.0011 harm 3.4243)  [6s, 8,833 win/s]
  ep 60  loss 0.3760 (pw 0.0011 harm 3.4499)  |  MAE 3.328W  F1 0.9773  저항3종 1.000  잔차 25.7W  [6s 학습 / 0s 평가, 8,845 win/s]
  ep 61  loss 0.3663 (pw 0.0011 harm 3.3505)  [6s, 8,822 win/s]
  ep 62  loss 0.3726 (pw 0.0011 harm 3.4125)  [6s, 8,825 win/s]
  ep 63  loss 0.3608 (pw 0.0011 harm 3.3028)  [6s, 8,853 win/s]
  ep 64  loss 0.3587 (pw 0.0011 harm 3.2846)  [6s, 8,829 win/s]
  ep 65  loss 0.3735 (pw 0.0011 harm 3.4329)  [6s, 8,847 win/s]
  ep 66  loss 0.3759 (pw 0.0011 harm 3.4709)  [6s, 8,794 win/s]
  ep 67  loss 0.3642 (pw 0.0011 harm 3.3476)  [6s, 8,851 win/s]
  ep 68  loss 0.3740 (pw 0.0011 harm 3.4390)  [6s, 8,822 win/s]
  ep 69  loss 0.3544 (pw 0.0011 harm 3.2449)  [6s, 8,843 win/s]
