====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
  ** 세밀 채널 [50] 를 0 으로 (조인 대조, 12.114 재시험) **
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1066 (pw 0.0043 harm 0.4984)  [5s, 9,597 win/s]
  ep 59  loss 0.1086 (pw 0.0046 harm 0.4975)  [5s, 9,607 win/s]
  ep 60  loss 0.1073 (pw 0.0044 harm 0.5002)  |  MAE 4.285W  F1 0.9249  저항3종 0.991  잔차 26.2W  [5s 학습 / 0s 평가, 9,597 win/s]
  ep 61  loss 0.1059 (pw 0.0045 harm 0.4962)  [5s, 9,611 win/s]
  ep 62  loss 0.1072 (pw 0.0044 harm 0.4967)  [5s, 9,602 win/s]
  ep 63  loss 0.1059 (pw 0.0045 harm 0.4957)  [5s, 9,603 win/s]
  ep 64  loss 0.1054 (pw 0.0044 harm 0.4968)  [5s, 9,591 win/s]
  ep 65  loss 0.1058 (pw 0.0045 harm 0.4970)  [5s, 9,600 win/s]
  ep 66  loss 0.1036 (pw 0.0044 harm 0.4953)  [5s, 9,602 win/s]
  ep 67  loss 0.1043 (pw 0.0044 harm 0.4974)  [5s, 9,593 win/s]
  ep 68  loss 0.1057 (pw 0.0045 harm 0.4941)  [5s, 9,594 win/s]
  ep 69  loss 0.1042 (pw 0.0044 harm 0.4943)  [5s, 9,598 win/s]
  ep 70  loss 0.1049 (pw 0.0045 harm 0.4930)  |  MAE 3.724W  F1 0.9262  저항3종 0.997  잔차 25.5W  [5s 학습 / 0s 평가, 9,604 win/s]
  ep 71  loss 0.1023 (pw 0.0044 harm 0.4933)  [5s, 9,609 win/s]
  ep 72  loss 0.1047 (pw 0.0045 harm 0.4960)  [5s, 9,587 win/s]
