### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 61  loss 0.1740 (pw 0.0010 harm 1.4546)  [5s, 9,129 win/s]
  ep 62  loss 0.1714 (pw 0.0010 harm 1.4336)  [6s, 8,703 win/s]
  ep 63  loss 0.1704 (pw 0.0010 harm 1.4178)  [6s, 8,772 win/s]
  ep 64  loss 0.1688 (pw 0.0010 harm 1.4176)  [6s, 8,713 win/s]
  ep 65  loss 0.1694 (pw 0.0010 harm 1.4217)  [6s, 8,712 win/s]
  ep 66  loss 0.1732 (pw 0.0010 harm 1.4494)  [6s, 8,729 win/s]
  ep 67  loss 0.1698 (pw 0.0010 harm 1.4302)  [6s, 8,717 win/s]
  ep 68  loss 0.1683 (pw 0.0010 harm 1.4177)  [6s, 8,726 win/s]
  ep 69  loss 0.1679 (pw 0.0010 harm 1.4112)  [6s, 8,894 win/s]
  ep 70  loss 0.1679 (pw 0.0010 harm 1.4036)  [5s, 9,098 win/s]
  ep 71  loss 0.1727 (pw 0.0010 harm 1.4531)  [6s, 9,080 win/s]
  ep 72  loss 0.1682 (pw 0.0010 harm 1.4205)  [5s, 9,126 win/s]
  ep 73  loss 0.1693 (pw 0.0010 harm 1.4320)  [5s, 9,135 win/s]
  ep 74  loss 0.1706 (pw 0.0010 harm 1.4333)  [6s, 8,884 win/s]
  ep 75  loss 0.1722 (pw 0.0010 harm 1.4572)  [6s, 8,969 win/s]
  ep 76  loss 0.1717 (pw 0.0010 harm 1.4527)  [6s, 9,090 win/s]
  ep 77  loss 0.1734 (pw 0.0010 harm 1.4582)  [5s, 9,134 win/s]
  ep 78  loss 0.1676 (pw 0.0010 harm 1.4212)  [5s, 9,132 win/s]
  ep 79  loss 0.1712 (pw 0.0010 harm 1.4517)  [5s, 9,180 win/s]
  ep 80  loss 0.1694 (pw 0.0010 harm 1.4335)  [5s, 9,127 win/s]
  ep 81  loss 0.1673 (pw 0.0010 harm 1.4219)  [5s, 9,125 win/s]
  ep 82  loss 0.1695 (pw 0.0010 harm 1.4472)  [5s, 9,101 win/s]
  ep 83  loss 0.1678 (pw 0.0010 harm 1.4206)  [5s, 9,117 win/s]
  ep 84  loss 0.1694 (pw 0.0009 harm 1.4499)  [5s, 9,172 win/s]
  ep 85  loss 0.1672 (pw 0.0010 harm 1.4150)  [5s, 9,113 win/s]
  ep 86  loss 0.1657 (pw 0.0009 harm 1.4151)  [5s, 9,136 win/s]
  ep 87  loss 0.1668 (pw 0.0010 harm 1.4169)  [5s, 9,176 win/s]
  ep 88  loss 0.1693 (pw 0.0010 harm 1.4369)  [5s, 9,174 win/s]
  ep 89  loss 0.1683 (pw 0.0010 harm 1.4348)  [5s, 9,144 win/s]
  ep 90  loss 0.1641 (pw 0.0009 harm 1.4064)  [5s, 9,138 win/s]
  ep 91  loss 0.1668 (pw 0.0010 harm 1.4286)  [5s, 9,194 win/s]
  ep 92  loss 0.1665 (pw 0.0009 harm 1.4235)  [5s, 9,157 win/s]
  ep 93  loss 0.1654 (pw 0.0009 harm 1.4197)  [5s, 9,185 win/s]
  ep 94  loss 0.1687 (pw 0.0010 harm 1.4487)  [5s, 9,193 win/s]
  ep 95  loss 0.1673 (pw 0.0010 harm 1.4310)  [5s, 9,176 win/s]
  ep 96  loss 0.1661 (pw 0.0010 harm 1.4247)  [5s, 9,134 win/s]
  ep 97  loss 0.1652 (pw 0.0009 harm 1.4163)  [5s, 9,175 win/s]
  ep 98  loss 0.1641 (pw 0.0009 harm 1.4119)  [5s, 9,156 win/s]
