====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1077 (pw 0.0043 harm 0.4990)  [5s, 9,446 win/s]
  ep 59  loss 0.1094 (pw 0.0046 harm 0.4981)  [5s, 9,529 win/s]
  ep 60  loss 0.1080 (pw 0.0044 harm 0.4994)  |  MAE 5.121W  F1 0.9199  저항3종 0.987  잔차 25.4W  [5s 학습 / 0s 평가, 9,498 win/s]
  ep 61  loss 0.1068 (pw 0.0045 harm 0.4951)  [5s, 9,501 win/s]
  ep 62  loss 0.1076 (pw 0.0043 harm 0.4963)  [5s, 9,478 win/s]
  ep 63  loss 0.1066 (pw 0.0045 harm 0.4948)  [5s, 9,504 win/s]
  ep 64  loss 0.1067 (pw 0.0044 harm 0.4970)  [5s, 9,499 win/s]
  ep 65  loss 0.1073 (pw 0.0045 harm 0.4969)  [5s, 9,442 win/s]
  ep 66  loss 0.1043 (pw 0.0044 harm 0.4951)  [5s, 9,480 win/s]
  ep 67  loss 0.1048 (pw 0.0044 harm 0.4974)  [5s, 9,475 win/s]
  ep 68  loss 0.1067 (pw 0.0045 harm 0.4929)  [5s, 9,518 win/s]
  ep 69  loss 0.1057 (pw 0.0045 harm 0.4947)  [5s, 9,422 win/s]
  ep 70  loss 0.1060 (pw 0.0045 harm 0.4925)  |  MAE 4.236W  F1 0.9201  저항3종 0.992  잔차 24.9W  [5s 학습 / 0s 평가, 9,504 win/s]
  ep 71  loss 0.1033 (pw 0.0044 harm 0.4930)  [5s, 9,461 win/s]
  ep 72  loss 0.1053 (pw 0.0045 harm 0.4955)  [5s, 9,554 win/s]
  ep 73  loss 0.1023 (pw 0.0044 harm 0.4920)  [5s, 9,424 win/s]
  ep 74  loss 0.1042 (pw 0.0044 harm 0.4921)  [5s, 9,531 win/s]
  ep 75  loss 0.1038 (pw 0.0045 harm 0.4934)  [5s, 9,444 win/s]
  ep 76  loss 0.1039 (pw 0.0044 harm 0.4941)  [5s, 9,521 win/s]
  ep 77  loss 0.1026 (pw 0.0044 harm 0.4937)  [5s, 9,425 win/s]
  ep 78  loss 0.1014 (pw 0.0044 harm 0.4943)  [5s, 9,518 win/s]
  ep 79  loss 0.1007 (pw 0.0044 harm 0.4919)  [5s, 9,459 win/s]
  ep 80  loss 0.1029 (pw 0.0046 harm 0.4914)  |  MAE 3.943W  F1 0.9233  저항3종 0.991  잔차 23.3W  [5s 학습 / 0s 평가, 9,476 win/s]
  ep 81  loss 0.1027 (pw 0.0045 harm 0.4892)  [5s, 9,449 win/s]
  ep 82  loss 0.1021 (pw 0.0045 harm 0.4895)  [5s, 9,474 win/s]
  ep 83  loss 0.1006 (pw 0.0044 harm 0.4878)  [5s, 9,488 win/s]
  ep 84  loss 0.1000 (pw 0.0045 harm 0.4924)  [5s, 9,450 win/s]
  ep 85  loss 0.0990 (pw 0.0045 harm 0.4887)  [5s, 9,483 win/s]
  ep 86  loss 0.1018 (pw 0.0045 harm 0.4917)  [5s, 9,462 win/s]
  ep 87  loss 0.1014 (pw 0.0046 harm 0.4910)  [5s, 9,521 win/s]
  ep 88  loss 0.0998 (pw 0.0045 harm 0.4880)  [5s, 9,429 win/s]
  ep 89  loss 0.0988 (pw 0.0045 harm 0.4865)  [5s, 9,506 win/s]
  ep 90  loss 0.0998 (pw 0.0044 harm 0.4903)  |  MAE 5.081W  F1 0.9218  저항3종 0.982  잔차 25.4W  [5s 학습 / 0s 평가, 9,452 win/s]
  ep 91  loss 0.0990 (pw 0.0045 harm 0.4890)  [5s, 9,551 win/s]
  ep 92  loss 0.0981 (pw 0.0045 harm 0.4875)  [5s, 9,404 win/s]
  ep 93  loss 0.0988 (pw 0.0044 harm 0.4881)  [5s, 9,534 win/s]
  ep 94  loss 0.0982 (pw 0.0045 harm 0.4880)  [5s, 9,450 win/s]
  ep 95  loss 0.0984 (pw 0.0045 harm 0.4868)  [5s, 9,515 win/s]
  ep 96  loss 0.0973 (pw 0.0044 harm 0.4890)  [5s, 9,411 win/s]
  ep 97  loss 0.0951 (pw 0.0043 harm 0.4881)  [5s, 9,482 win/s]
  ep 98  loss 0.1003 (pw 0.0046 harm 0.4873)  [5s, 9,453 win/s]
  ep 99  loss 0.0969 (pw 0.0045 harm 0.4875)  [5s, 9,478 win/s]
  ep100  loss 0.0978 (pw 0.0046 harm 0.4858)  |  MAE 5.352W  F1 0.9203  저항3종 0.982  잔차 26.6W  [5s 학습 / 0s 평가, 9,442 win/s]
  ep101  loss 0.0987 (pw 0.0045 harm 0.4891)  [5s, 9,461 win/s]
  ep102  loss 0.0940 (pw 0.0044 harm 0.4876)  [5s, 9,489 win/s]
  ep103  loss 0.0939 (pw 0.0044 harm 0.4867)  [5s, 9,447 win/s]
  ep104  loss 0.0948 (pw 0.0045 harm 0.4857)  [5s, 9,480 win/s]
  ep105  loss 0.0979 (pw 0.0045 harm 0.4854)  [5s, 9,459 win/s]
  ep106  loss 0.0970 (pw 0.0045 harm 0.4848)  [5s, 9,500 win/s]
  ep107  loss 0.0957 (pw 0.0045 harm 0.4830)  [5s, 9,401 win/s]
  ep108  loss 0.0942 (pw 0.0044 harm 0.4844)  [5s, 9,491 win/s]
  ep109  loss 0.0931 (pw 0.0044 harm 0.4870)  [5s, 9,414 win/s]
  ep110  loss 0.0959 (pw 0.0045 harm 0.4856)  |  MAE 4.749W  F1 0.9195  저항3종 0.988  잔차 25.5W  [5s 학습 / 0s 평가, 9,532 win/s]
  ep111  loss 0.0965 (pw 0.0045 harm 0.4863)  [5s, 9,396 win/s]
  ep112  loss 0.0959 (pw 0.0045 harm 0.4853)  [5s, 9,528 win/s]
  ep113  loss 0.0960 (pw 0.0046 harm 0.4816)  [5s, 9,427 win/s]
  ep114  loss 0.0948 (pw 0.0045 harm 0.4825)  [5s, 9,549 win/s]
  ep115  loss 0.0950 (pw 0.0045 harm 0.4840)  [5s, 9,439 win/s]
  ep116  loss 0.0944 (pw 0.0044 harm 0.4821)  [5s, 9,511 win/s]
  ep117  loss 0.0949 (pw 0.0045 harm 0.4840)  [5s, 9,458 win/s]
  ep118  loss 0.0939 (pw 0.0046 harm 0.4807)  [5s, 9,494 win/s]
  ep119  loss 0.0926 (pw 0.0044 harm 0.4821)  [5s, 9,431 win/s]
