====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ov — 독립 창 300,000개 (18.2GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1680 (pw 0.0010 harm 1.3858)  [6s, 8,992 win/s]
  ep 59  loss 0.1672 (pw 0.0010 harm 1.3704)  [6s, 8,655 win/s]
  ep 60  loss 0.1667 (pw 0.0010 harm 1.3826)  |  MAE 3.453W  F1 0.9738  저항3종 1.000  잔차 27.0W  [6s 학습 / 0s 평가, 8,822 win/s]
  ep 61  loss 0.1671 (pw 0.0010 harm 1.3906)  [6s, 8,762 win/s]
  ep 62  loss 0.1657 (pw 0.0010 harm 1.3802)  [6s, 8,813 win/s]
  ep 63  loss 0.1664 (pw 0.0010 harm 1.3794)  [6s, 8,823 win/s]
  ep 64  loss 0.1646 (pw 0.0010 harm 1.3738)  [6s, 8,925 win/s]
  ep 65  loss 0.1633 (pw 0.0010 harm 1.3653)  [6s, 8,902 win/s]
  ep 66  loss 0.1649 (pw 0.0010 harm 1.3718)  [6s, 8,928 win/s]
  ep 67  loss 0.1640 (pw 0.0010 harm 1.3739)  [6s, 8,916 win/s]
  ep 68  loss 0.1651 (pw 0.0010 harm 1.3832)  [6s, 8,838 win/s]
  ep 69  loss 0.1641 (pw 0.0010 harm 1.3676)  [6s, 8,821 win/s]
  ep 70  loss 0.1654 (pw 0.0010 harm 1.3865)  |  MAE 3.244W  F1 0.9757  저항3종 0.998  잔차 26.0W  [6s 학습 / 0s 평가, 8,846 win/s]
  ep 71  loss 0.1646 (pw 0.0010 harm 1.3773)  [6s, 8,885 win/s]
  ep 72  loss 0.1633 (pw 0.0010 harm 1.3735)  [6s, 8,791 win/s]
  ep 73  loss 0.1678 (pw 0.0010 harm 1.4143)  [6s, 8,739 win/s]
  ep 74  loss 0.1627 (pw 0.0010 harm 1.3588)  [6s, 8,693 win/s]
  ep 75  loss 0.1656 (pw 0.0010 harm 1.3891)  [6s, 8,621 win/s]
  ep 76  loss 0.1637 (pw 0.0010 harm 1.3745)  [6s, 8,755 win/s]
  ep 77  loss 0.1648 (pw 0.0010 harm 1.3845)  [6s, 8,766 win/s]
  ep 78  loss 0.1645 (pw 0.0010 harm 1.3967)  [6s, 8,782 win/s]
  ep 79  loss 0.1663 (pw 0.0010 harm 1.4120)  [6s, 8,761 win/s]
  ep 80  loss 0.1626 (pw 0.0010 harm 1.3672)  |  MAE 3.260W  F1 0.9761  저항3종 0.999  잔차 26.2W  [6s 학습 / 0s 평가, 8,521 win/s]
  ep 81  loss 0.1623 (pw 0.0010 harm 1.3687)  [6s, 8,632 win/s]
  ep 82  loss 0.1613 (pw 0.0010 harm 1.3628)  [6s, 8,487 win/s]
  ep 83  loss 0.1666 (pw 0.0010 harm 1.4033)  [7s, 7,642 win/s]
  ep 84  loss 0.1612 (pw 0.0010 harm 1.3618)  [6s, 8,638 win/s]
  ep 85  loss 0.1612 (pw 0.0009 harm 1.3622)  [6s, 8,624 win/s]
  ep 86  loss 0.1619 (pw 0.0009 harm 1.3809)  [6s, 8,606 win/s]
  ep 87  loss 0.1649 (pw 0.0010 harm 1.4030)  [6s, 8,562 win/s]
  ep 88  loss 0.1628 (pw 0.0010 harm 1.3711)  [6s, 8,583 win/s]
  ep 89  loss 0.1629 (pw 0.0009 harm 1.3898)  [6s, 8,621 win/s]
  ep 90  loss 0.1595 (pw 0.0009 harm 1.3650)  |  MAE 3.031W  F1 0.9773  저항3종 1.000  잔차 25.0W  [6s 학습 / 0s 평가, 8,589 win/s]
  ep 91  loss 0.1644 (pw 0.0009 harm 1.4045)  [6s, 8,582 win/s]
  ep 92  loss 0.1635 (pw 0.0010 harm 1.3921)  [6s, 8,586 win/s]
  ep 93  loss 0.1624 (pw 0.0009 harm 1.3867)  [6s, 8,484 win/s]
  ep 94  loss 0.1634 (pw 0.0009 harm 1.3948)  [6s, 8,528 win/s]
  ep 95  loss 0.1643 (pw 0.0010 harm 1.4001)  [6s, 8,734 win/s]
  ep 96  loss 0.1610 (pw 0.0009 harm 1.3741)  [6s, 8,708 win/s]
  ep 97  loss 0.1612 (pw 0.0009 harm 1.3775)  [6s, 8,758 win/s]
  ep 98  loss 0.1620 (pw 0.0009 harm 1.3852)  [6s, 8,736 win/s]
  ep 99  loss 0.1591 (pw 0.0009 harm 1.3548)  [6s, 8,723 win/s]
