====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsx — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.0929 (pw 0.0042 harm 0.4667)  [6s, 8,596 win/s]
  ep 59  loss 0.0947 (pw 0.0044 harm 0.4680)  [6s, 8,629 win/s]
  ep 60  loss 0.0924 (pw 0.0043 harm 0.4677)  |  MAE 4.095W  F1 0.9591  저항3종 0.995  잔차 24.6W  [6s 학습 / 0s 평가, 8,586 win/s]
  ep 61  loss 0.0918 (pw 0.0043 harm 0.4638)  [6s, 8,644 win/s]
  ep 62  loss 0.0928 (pw 0.0043 harm 0.4650)  [6s, 8,551 win/s]
  ep 63  loss 0.0924 (pw 0.0044 harm 0.4656)  [6s, 8,626 win/s]
  ep 64  loss 0.0916 (pw 0.0043 harm 0.4627)  [6s, 8,520 win/s]
  ep 65  loss 0.0916 (pw 0.0043 harm 0.4665)  [6s, 8,641 win/s]
  ep 66  loss 0.0894 (pw 0.0042 harm 0.4620)  [6s, 8,649 win/s]
  ep 67  loss 0.0904 (pw 0.0043 harm 0.4635)  [6s, 8,656 win/s]
  ep 68  loss 0.0919 (pw 0.0044 harm 0.4663)  [6s, 8,591 win/s]
  ep 69  loss 0.0919 (pw 0.0044 harm 0.4645)  [6s, 8,521 win/s]
  ep 70  loss 0.0915 (pw 0.0043 harm 0.4626)  |  MAE 4.087W  F1 0.9559  저항3종 0.996  잔차 25.4W  [6s 학습 / 0s 평가, 8,576 win/s]
  ep 71  loss 0.0894 (pw 0.0043 harm 0.4643)  [6s, 8,473 win/s]
  ep 72  loss 0.0909 (pw 0.0044 harm 0.4642)  [6s, 8,594 win/s]
  ep 73  loss 0.0875 (pw 0.0042 harm 0.4600)  [6s, 8,433 win/s]
  ep 74  loss 0.0903 (pw 0.0044 harm 0.4645)  [6s, 8,575 win/s]
  ep 75  loss 0.0889 (pw 0.0043 harm 0.4631)  [6s, 8,468 win/s]
  ep 76  loss 0.0883 (pw 0.0043 harm 0.4602)  [6s, 8,551 win/s]
  ep 77  loss 0.0890 (pw 0.0043 harm 0.4630)  [6s, 8,530 win/s]
  ep 78  loss 0.0870 (pw 0.0043 harm 0.4596)  [6s, 8,526 win/s]
  ep 79  loss 0.0873 (pw 0.0043 harm 0.4624)  [6s, 8,590 win/s]
  ep 80  loss 0.0885 (pw 0.0043 harm 0.4607)  |  MAE 3.990W  F1 0.9631  저항3종 0.991  잔차 24.5W  [6s 학습 / 0s 평가, 8,506 win/s]
  ep 81  loss 0.0890 (pw 0.0044 harm 0.4609)  [6s, 8,598 win/s]
  ep 82  loss 0.0886 (pw 0.0044 harm 0.4604)  [6s, 8,508 win/s]
  ep 83  loss 0.0870 (pw 0.0043 harm 0.4593)  [6s, 8,596 win/s]
  ep 84  loss 0.0865 (pw 0.0044 harm 0.4588)  [6s, 8,648 win/s]
  ep 85  loss 0.0849 (pw 0.0043 harm 0.4563)  [6s, 8,606 win/s]
  ep 86  loss 0.0871 (pw 0.0043 harm 0.4587)  [6s, 8,634 win/s]
  ep 87  loss 0.0882 (pw 0.0044 harm 0.4624)  [6s, 8,555 win/s]
  ep 88  loss 0.0859 (pw 0.0043 harm 0.4586)  [6s, 8,626 win/s]
  ep 89  loss 0.0851 (pw 0.0043 harm 0.4544)  [6s, 8,512 win/s]
  ep 90  loss 0.0854 (pw 0.0043 harm 0.4586)  |  MAE 4.668W  F1 0.9588  저항3종 0.990  잔차 25.2W  [6s 학습 / 0s 평가, 8,605 win/s]
  ep 91  loss 0.0851 (pw 0.0043 harm 0.4554)  [6s, 8,558 win/s]
  ep 92  loss 0.0850 (pw 0.0043 harm 0.4581)  [6s, 8,579 win/s]
  ep 93  loss 0.0859 (pw 0.0043 harm 0.4583)  [6s, 8,560 win/s]
  ep 94  loss 0.0850 (pw 0.0043 harm 0.4593)  [6s, 8,587 win/s]
  ep 95  loss 0.0844 (pw 0.0043 harm 0.4561)  [6s, 8,654 win/s]
  ep 96  loss 0.0832 (pw 0.0043 harm 0.4551)  [6s, 8,477 win/s]
  ep 97  loss 0.0822 (pw 0.0042 harm 0.4586)  [6s, 8,617 win/s]
  ep 98  loss 0.0859 (pw 0.0044 harm 0.4585)  [6s, 8,508 win/s]
  ep 99  loss 0.0844 (pw 0.0043 harm 0.4618)  [6s, 8,591 win/s]
  ep100  loss 0.0843 (pw 0.0043 harm 0.4591)  |  MAE 3.699W  F1 0.9642  저항3종 0.995  잔차 24.4W  [6s 학습 / 0s 평가, 8,543 win/s]
  ep101  loss 0.0847 (pw 0.0044 harm 0.4576)  [6s, 8,559 win/s]
  ep102  loss 0.0819 (pw 0.0043 harm 0.4576)  [6s, 8,562 win/s]
  ep103  loss 0.0807 (pw 0.0042 harm 0.4557)  [6s, 8,511 win/s]
  ep104  loss 0.0813 (pw 0.0043 harm 0.4530)  [6s, 8,575 win/s]
  ep105  loss 0.0838 (pw 0.0043 harm 0.4562)  [6s, 8,470 win/s]
  ep106  loss 0.0840 (pw 0.0044 harm 0.4526)  [6s, 8,581 win/s]
  ep107  loss 0.0821 (pw 0.0043 harm 0.4554)  [6s, 8,502 win/s]
  ep108  loss 0.0816 (pw 0.0043 harm 0.4526)  [6s, 8,564 win/s]
  ep109  loss 0.0810 (pw 0.0043 harm 0.4546)  [6s, 8,576 win/s]
  ep110  loss 0.0827 (pw 0.0044 harm 0.4562)  |  MAE 4.324W  F1 0.9632  저항3종 0.994  잔차 25.5W  [6s 학습 / 0s 평가, 8,611 win/s]
  ep111  loss 0.0828 (pw 0.0044 harm 0.4555)  [6s, 8,598 win/s]
  ep112  loss 0.0826 (pw 0.0044 harm 0.4542)  [6s, 8,550 win/s]
  ep113  loss 0.0835 (pw 0.0044 harm 0.4556)  [6s, 8,625 win/s]
  ep114  loss 0.0820 (pw 0.0043 harm 0.4544)  [6s, 8,522 win/s]
  ep115  loss 0.0819 (pw 0.0043 harm 0.4545)  [6s, 8,600 win/s]
  ep116  loss 0.0809 (pw 0.0043 harm 0.4515)  [6s, 8,516 win/s]
  ep117  loss 0.0809 (pw 0.0044 harm 0.4518)  [6s, 8,566 win/s]
  ep118  loss 0.0809 (pw 0.0043 harm 0.4523)  [6s, 8,538 win/s]
  ep119  loss 0.0790 (pw 0.0043 harm 0.4518)  [6s, 8,534 win/s]
  ep120  loss 0.0803 (pw 0.0044 harm 0.4547)  |  MAE 3.862W  F1 0.9636  저항3종 0.997  잔차 24.1W  [6s 학습 / 0s 평가, 8,541 win/s]
  ep121  loss 0.0788 (pw 0.0042 harm 0.4505)  [6s, 8,481 win/s]
  ep122  loss 0.0819 (pw 0.0044 harm 0.4529)  [6s, 8,573 win/s]
  ep123  loss 0.0799 (pw 0.0043 harm 0.4522)  [6s, 8,493 win/s]
  ep124  loss 0.0791 (pw 0.0043 harm 0.4505)  [6s, 8,573 win/s]
  ep125  loss 0.0802 (pw 0.0044 harm 0.4558)  [6s, 8,504 win/s]
  ep126  loss 0.0786 (pw 0.0044 harm 0.4516)  [6s, 8,547 win/s]
  ep127  loss 0.0795 (pw 0.0044 harm 0.4517)  [6s, 8,537 win/s]
  ep128  loss 0.0784 (pw 0.0043 harm 0.4510)  [6s, 8,566 win/s]
  ep129  loss 0.0776 (pw 0.0044 harm 0.4498)  [6s, 8,531 win/s]
  ep130  loss 0.0790 (pw 0.0043 harm 0.4545)  |  MAE 3.816W  F1 0.9641  저항3종 0.992  잔차 24.2W  [6s 학습 / 0s 평가, 8,514 win/s]
  ep131  loss 0.0774 (pw 0.0043 harm 0.4524)  [6s, 8,570 win/s]
  ep132  loss 0.0779 (pw 0.0043 harm 0.4535)  [6s, 8,462 win/s]
  ep133  loss 0.0778 (pw 0.0043 harm 0.4516)  [6s, 8,554 win/s]
  ep134  loss 0.0757 (pw 0.0043 harm 0.4529)  [6s, 8,464 win/s]
  ep135  loss 0.0798 (pw 0.0044 harm 0.4495)  [6s, 8,605 win/s]
  ep136  loss 0.0794 (pw 0.0045 harm 0.4500)  [6s, 8,630 win/s]
  ep137  loss 0.0786 (pw 0.0044 harm 0.4499)  [6s, 8,531 win/s]
  ep138  loss 0.0781 (pw 0.0044 harm 0.4500)  [6s, 8,625 win/s]
  ep139  loss 0.0758 (pw 0.0043 harm 0.4505)  [6s, 8,536 win/s]
  ep140  loss 0.0759 (pw 0.0043 harm 0.4541)  |  MAE 3.746W  F1 0.9668  저항3종 0.991  잔차 22.7W  [6s 학습 / 0s 평가, 8,611 win/s]
  ep141  loss 0.0782 (pw 0.0044 harm 0.4486)  [6s, 8,517 win/s]
  ep142  loss 0.0770 (pw 0.0043 harm 0.4495)  [6s, 8,545 win/s]
  ep143  loss 0.0781 (pw 0.0044 harm 0.4504)  [6s, 8,533 win/s]
  ep144  loss 0.0753 (pw 0.0043 harm 0.4522)  [6s, 8,527 win/s]
  ep145  loss 0.0762 (pw 0.0043 harm 0.4528)  [6s, 8,557 win/s]
  ep146  loss 0.0774 (pw 0.0044 harm 0.4494)  [6s, 8,501 win/s]
  ep147  loss 0.0763 (pw 0.0044 harm 0.4501)  [6s, 8,597 win/s]
  ep148  loss 0.0746 (pw 0.0043 harm 0.4515)  [6s, 8,475 win/s]
  ep149  loss 0.0752 (pw 0.0043 harm 0.4513)  [6s, 8,598 win/s]
  ep150  loss 0.0747 (pw 0.0043 harm 0.4477)  |  MAE 4.131W  F1 0.9658  저항3종 0.993  잔차 25.1W  [6s 학습 / 0s 평가, 8,535 win/s]
  ep151  loss 0.0771 (pw 0.0043 harm 0.4473)  [6s, 8,583 win/s]
  ep152  loss 0.0758 (pw 0.0043 harm 0.4474)  [6s, 8,581 win/s]
  ep153  loss 0.0747 (pw 0.0044 harm 0.4471)  [6s, 8,521 win/s]
  ep154  loss 0.0733 (pw 0.0043 harm 0.4471)  [6s, 8,601 win/s]
  ep155  loss 0.0739 (pw 0.0043 harm 0.4474)  [6s, 8,536 win/s]
  ep156  loss 0.0784 (pw 0.0045 harm 0.4462)  [6s, 8,608 win/s]
  ep157  loss 0.0749 (pw 0.0043 harm 0.4465)  [6s, 8,519 win/s]
  ep158  loss 0.0786 (pw 0.0045 harm 0.4463)  [6s, 8,576 win/s]
  ep159  loss 0.0763 (pw 0.0044 harm 0.4480)  [6s, 8,470 win/s]
  ep160  loss 0.0747 (pw 0.0044 harm 0.4491)  |  MAE 3.767W  F1 0.9671  저항3종 0.993  잔차 23.2W  [6s 학습 / 0s 평가, 8,246 win/s]
  ep161  loss 0.0747 (pw 0.0044 harm 0.4442)  [6s, 7,866 win/s]
  ep162  loss 0.0742 (pw 0.0043 harm 0.4455)  [7s, 7,352 win/s]
  ep163  loss 0.0760 (pw 0.0044 harm 0.4461)  [7s, 7,524 win/s]
  ep164  loss 0.0758 (pw 0.0045 harm 0.4457)  [7s, 7,371 win/s]
  ep165  loss 0.0755 (pw 0.0043 harm 0.4484)  [7s, 7,144 win/s]
  ep166  loss 0.0738 (pw 0.0043 harm 0.4492)  [7s, 7,133 win/s]
  ep167  loss 0.0758 (pw 0.0044 harm 0.4438)  [7s, 7,587 win/s]
  ep168  loss 0.0732 (pw 0.0043 harm 0.4443)  [6s, 7,796 win/s]
  ep169  loss 0.0746 (pw 0.0044 harm 0.4446)  [6s, 8,315 win/s]
  ep170  loss 0.0754 (pw 0.0044 harm 0.4448)  |  MAE 3.877W  F1 0.9683  저항3종 0.992  잔차 23.4W  [6s 학습 / 0s 평가, 7,929 win/s]
  ep171  loss 0.0749 (pw 0.0044 harm 0.4451)  [6s, 7,860 win/s]
  ep172  loss 0.0732 (pw 0.0043 harm 0.4438)  [6s, 8,290 win/s]
  ep173  loss 0.0722 (pw 0.0043 harm 0.4486)  [6s, 7,851 win/s]
  ep174  loss 0.0746 (pw 0.0044 harm 0.4460)  [6s, 8,347 win/s]
  ep175  loss 0.0728 (pw 0.0043 harm 0.4436)  [6s, 8,021 win/s]
  ep176  loss 0.0725 (pw 0.0044 harm 0.4434)  [6s, 8,025 win/s]
  ep177  loss 0.0745 (pw 0.0045 harm 0.4456)  [6s, 8,201 win/s]
  ep178  loss 0.0728 (pw 0.0044 harm 0.4439)  [6s, 7,795 win/s]
  ep179  loss 0.0735 (pw 0.0044 harm 0.4454)  [6s, 8,383 win/s]
  ep180  loss 0.0727 (pw 0.0043 harm 0.4454)  |  MAE 3.739W  F1 0.9671  저항3종 0.994  잔차 22.9W  [6s 학습 / 0s 평가, 7,750 win/s]
  ep181  loss 0.0744 (pw 0.0044 harm 0.4463)  [6s, 7,975 win/s]
