====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsf — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1006 (pw 0.0046 harm 0.4935)  [5s, 9,276 win/s]
  ep 59  loss 0.1012 (pw 0.0048 harm 0.4886)  [5s, 9,170 win/s]
  ep 60  loss 0.0990 (pw 0.0046 harm 0.4866)  |  MAE 4.001W  F1 0.9620  저항3종 0.991  잔차 25.2W  [5s 학습 / 0s 평가, 9,240 win/s]
  ep 61  loss 0.0990 (pw 0.0046 harm 0.4877)  [5s, 9,160 win/s]
  ep 62  loss 0.0995 (pw 0.0046 harm 0.4897)  [6s, 8,997 win/s]
  ep 63  loss 0.0981 (pw 0.0046 harm 0.4866)  [5s, 9,168 win/s]
  ep 64  loss 0.0979 (pw 0.0046 harm 0.4888)  [5s, 9,175 win/s]
  ep 65  loss 0.0984 (pw 0.0047 harm 0.4863)  [5s, 9,199 win/s]
  ep 66  loss 0.0966 (pw 0.0046 harm 0.4887)  [6s, 9,019 win/s]
  ep 67  loss 0.0970 (pw 0.0047 harm 0.4870)  [5s, 9,144 win/s]
  ep 68  loss 0.0973 (pw 0.0046 harm 0.4849)  [5s, 9,141 win/s]
  ep 69  loss 0.0978 (pw 0.0047 harm 0.4883)  [5s, 9,102 win/s]
  ep 70  loss 0.0968 (pw 0.0047 harm 0.4842)  |  MAE 3.670W  F1 0.9608  저항3종 0.995  잔차 24.4W  [5s 학습 / 0s 평가, 9,160 win/s]
  ep 71  loss 0.0947 (pw 0.0046 harm 0.4825)  [5s, 9,152 win/s]
  ep 72  loss 0.0971 (pw 0.0047 harm 0.4840)  [5s, 9,208 win/s]
  ep 73  loss 0.0936 (pw 0.0045 harm 0.4838)  [6s, 9,021 win/s]
  ep 74  loss 0.0967 (pw 0.0047 harm 0.4839)  [5s, 9,201 win/s]
  ep 75  loss 0.0950 (pw 0.0046 harm 0.4814)  [5s, 9,154 win/s]
  ep 76  loss 0.0949 (pw 0.0046 harm 0.4831)  [5s, 9,181 win/s]
  ep 77  loss 0.0948 (pw 0.0046 harm 0.4857)  [5s, 9,165 win/s]
  ep 78  loss 0.0942 (pw 0.0047 harm 0.4838)  [5s, 9,209 win/s]
  ep 79  loss 0.0928 (pw 0.0046 harm 0.4803)  [5s, 9,238 win/s]
  ep 80  loss 0.0954 (pw 0.0047 harm 0.4849)  |  MAE 3.840W  F1 0.9642  저항3종 0.993  잔차 26.0W  [6s 학습 / 0s 평가, 8,978 win/s]
  ep 81  loss 0.0944 (pw 0.0047 harm 0.4833)  [5s, 9,167 win/s]
  ep 82  loss 0.0942 (pw 0.0048 harm 0.4811)  [5s, 9,182 win/s]
  ep 83  loss 0.0932 (pw 0.0047 harm 0.4821)  [5s, 9,168 win/s]
  ep 84  loss 0.0926 (pw 0.0047 harm 0.4831)  [5s, 9,144 win/s]
  ep 85  loss 0.0912 (pw 0.0046 harm 0.4832)  [5s, 9,232 win/s]
  ep 86  loss 0.0930 (pw 0.0046 harm 0.4804)  [5s, 9,244 win/s]
  ep 87  loss 0.0929 (pw 0.0047 harm 0.4818)  [6s, 9,045 win/s]
  ep 88  loss 0.0914 (pw 0.0046 harm 0.4781)  [5s, 9,110 win/s]
  ep 89  loss 0.0913 (pw 0.0046 harm 0.4816)  [5s, 9,205 win/s]
  ep 90  loss 0.0921 (pw 0.0046 harm 0.4814)  |  MAE 4.032W  F1 0.9608  저항3종 0.992  잔차 26.2W  [5s 학습 / 0s 평가, 9,187 win/s]
  ep 91  loss 0.0919 (pw 0.0047 harm 0.4829)  [6s, 9,029 win/s]
  ep 92  loss 0.0910 (pw 0.0047 harm 0.4811)  [5s, 9,210 win/s]
  ep 93  loss 0.0914 (pw 0.0046 harm 0.4790)  [5s, 9,187 win/s]
  ep 94  loss 0.0905 (pw 0.0047 harm 0.4815)  [6s, 8,949 win/s]
  ep 95  loss 0.0895 (pw 0.0046 harm 0.4783)  [5s, 9,100 win/s]
  ep 96  loss 0.0896 (pw 0.0047 harm 0.4799)  [5s, 9,245 win/s]
  ep 97  loss 0.0881 (pw 0.0046 harm 0.4804)  [5s, 9,146 win/s]
  ep 98  loss 0.0909 (pw 0.0046 harm 0.4782)  [6s, 8,980 win/s]
  ep 99  loss 0.0890 (pw 0.0046 harm 0.4778)  [5s, 9,124 win/s]
  ep100  loss 0.0894 (pw 0.0047 harm 0.4758)  |  MAE 3.774W  F1 0.9640  저항3종 0.996  잔차 25.6W  [5s 학습 / 0s 평가, 9,198 win/s]
  ep101  loss 0.0903 (pw 0.0046 harm 0.4778)  [5s, 9,102 win/s]
  ep102  loss 0.0871 (pw 0.0046 harm 0.4792)  [5s, 9,152 win/s]
  ep103  loss 0.0860 (pw 0.0045 harm 0.4783)  [5s, 9,174 win/s]
  ep104  loss 0.0876 (pw 0.0047 harm 0.4787)  [5s, 9,175 win/s]
  ep105  loss 0.0897 (pw 0.0046 harm 0.4764)  [6s, 9,073 win/s]
  ep106  loss 0.0899 (pw 0.0047 harm 0.4785)  [5s, 9,192 win/s]
  ep107  loss 0.0877 (pw 0.0046 harm 0.4751)  [5s, 9,276 win/s]
  ep108  loss 0.0882 (pw 0.0046 harm 0.4803)  [6s, 8,921 win/s]
  ep109  loss 0.0863 (pw 0.0046 harm 0.4782)  [5s, 9,179 win/s]
  ep110  loss 0.0875 (pw 0.0046 harm 0.4752)  |  MAE 3.388W  F1 0.9656  저항3종 0.996  잔차 23.6W  [5s 학습 / 0s 평가, 9,463 win/s]
  ep111  loss 0.0883 (pw 0.0047 harm 0.4771)  [5s, 9,509 win/s]
