====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 92db1dfee4dabbdd | 타깃 3059/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_la9 — 독립 창 300,000개 (23.4GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1652 (pw 0.0010 harm 1.3741)  [10s, 5,224 win/s]
  ep 59  loss 0.1654 (pw 0.0010 harm 1.3623)  [9s, 5,287 win/s]
  ep 60  loss 0.1639 (pw 0.0010 harm 1.3686)  |  MAE 3.129W  F1 0.9703  저항3종 1.000  잔차 25.6W  [8s 학습 / 0s 평가, 6,164 win/s]
  ep 61  loss 0.1666 (pw 0.0010 harm 1.3902)  [7s, 6,680 win/s]
  ep 62  loss 0.1666 (pw 0.0010 harm 1.3884)  [7s, 7,022 win/s]
  ep 63  loss 0.1681 (pw 0.0010 harm 1.4096)  [7s, 7,049 win/s]
  ep 64  loss 0.1667 (pw 0.0010 harm 1.3959)  [12s, 4,292 win/s]
  ep 65  loss 0.1652 (pw 0.0010 harm 1.3822)  [8s, 6,572 win/s]
  ep 66  loss 0.1648 (pw 0.0010 harm 1.3893)  [7s, 6,969 win/s]
  ep 67  loss 0.1644 (pw 0.0010 harm 1.3731)  [7s, 6,999 win/s]
  ep 68  loss 0.1678 (pw 0.0010 harm 1.4103)  [7s, 6,945 win/s]
  ep 69  loss 0.1632 (pw 0.0010 harm 1.3559)  [7s, 6,910 win/s]
  ep 70  loss 0.1658 (pw 0.0010 harm 1.3940)  |  MAE 3.075W  F1 0.9747  저항3종 1.000  잔차 25.2W  [7s 학습 / 1s 평가, 6,955 win/s]
