====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (22.1GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 59  loss 0.0860 (pw 0.0016 harm 0.4040)  [5s, 9,314 win/s]
  ep 60  loss 0.0849 (pw 0.0015 harm 0.4076)  |  MAE 4.478W  F1 0.9246  저항3종 0.990  잔차 25.1W  [5s 학습 / 0s 평가, 9,314 win/s]
  ep 61  loss 0.0845 (pw 0.0015 harm 0.4058)  [5s, 9,311 win/s]
  ep 62  loss 0.0850 (pw 0.0015 harm 0.4052)  [5s, 9,262 win/s]
  ep 63  loss 0.0850 (pw 0.0015 harm 0.4060)  [5s, 9,428 win/s]
  ep 64  loss 0.0842 (pw 0.0015 harm 0.4019)  [5s, 9,402 win/s]
  ep 65  loss 0.0839 (pw 0.0015 harm 0.4064)  [5s, 9,183 win/s]
  ep 66  loss 0.0828 (pw 0.0014 harm 0.4029)  [5s, 9,326 win/s]
  ep 67  loss 0.0830 (pw 0.0014 harm 0.4027)  [5s, 9,365 win/s]
  ep 68  loss 0.0840 (pw 0.0015 harm 0.4045)  [5s, 9,418 win/s]
  ep 69  loss 0.0833 (pw 0.0015 harm 0.4000)  [6s, 8,504 win/s]
  ep 70  loss 0.0834 (pw 0.0015 harm 0.4019)  |  MAE 4.654W  F1 0.9215  저항3종 0.984  잔차 25.3W  [6s 학습 / 0s 평가, 9,073 win/s]
  ep 71  loss 0.0818 (pw 0.0015 harm 0.4015)  [6s, 8,742 win/s]
  ep 72  loss 0.0836 (pw 0.0015 harm 0.4059)  [6s, 8,706 win/s]
  ep 73  loss 0.0808 (pw 0.0014 harm 0.4030)  [6s, 8,796 win/s]
  ep 74  loss 0.0838 (pw 0.0015 harm 0.4050)  [6s, 8,786 win/s]
  ep 75  loss 0.0815 (pw 0.0015 harm 0.4025)  [6s, 8,828 win/s]
  ep 76  loss 0.0821 (pw 0.0015 harm 0.4017)  [6s, 8,820 win/s]
  ep 77  loss 0.0812 (pw 0.0014 harm 0.4005)  [6s, 8,818 win/s]
  ep 78  loss 0.0808 (pw 0.0014 harm 0.4043)  [6s, 8,855 win/s]
  ep 79  loss 0.0802 (pw 0.0015 harm 0.4028)  [6s, 8,455 win/s]
  ep 80  loss 0.0812 (pw 0.0015 harm 0.4008)  |  MAE 3.545W  F1 0.9253  저항3종 0.995  잔차 23.5W  [5s 학습 / 0s 평가, 9,428 win/s]
  ep 81  loss 0.0820 (pw 0.0015 harm 0.3998)  [5s, 9,453 win/s]
  ep 82  loss 0.0814 (pw 0.0015 harm 0.3997)  [5s, 9,444 win/s]
  ep 83  loss 0.0800 (pw 0.0015 harm 0.4008)  [5s, 9,424 win/s]
  ep 84  loss 0.0791 (pw 0.0014 harm 0.3976)  [5s, 9,446 win/s]
  ep 85  loss 0.0793 (pw 0.0014 harm 0.4009)  [5s, 9,450 win/s]
  ep 86  loss 0.0802 (pw 0.0015 harm 0.3990)  [5s, 9,437 win/s]
  ep 87  loss 0.0798 (pw 0.0015 harm 0.4000)  [5s, 9,409 win/s]
  ep 88  loss 0.0796 (pw 0.0015 harm 0.4010)  [5s, 9,452 win/s]
  ep 89  loss 0.0785 (pw 0.0014 harm 0.3993)  [5s, 9,445 win/s]
  ep 90  loss 0.0801 (pw 0.0015 harm 0.4051)  |  MAE 3.593W  F1 0.9245  저항3종 0.998  잔차 23.9W  [5s 학습 / 0s 평가, 9,413 win/s]
  ep 91  loss 0.0788 (pw 0.0014 harm 0.3982)  [5s, 9,416 win/s]
  ep 92  loss 0.0791 (pw 0.0015 harm 0.4011)  [5s, 9,446 win/s]
  ep 93  loss 0.0781 (pw 0.0015 harm 0.3957)  [5s, 9,421 win/s]
  ep 94  loss 0.0780 (pw 0.0014 harm 0.3971)  [5s, 9,419 win/s]
  ep 95  loss 0.0785 (pw 0.0014 harm 0.4002)  [5s, 9,438 win/s]
  ep 96  loss 0.0773 (pw 0.0014 harm 0.4003)  [5s, 9,452 win/s]
  ep 97  loss 0.0758 (pw 0.0014 harm 0.3988)  [5s, 9,416 win/s]
  ep 98  loss 0.0784 (pw 0.0014 harm 0.3979)  [5s, 9,397 win/s]
  ep 99  loss 0.0777 (pw 0.0014 harm 0.4002)  [5s, 9,441 win/s]
  ep100  loss 0.0775 (pw 0.0014 harm 0.3999)  |  MAE 3.389W  F1 0.9222  저항3종 0.997  잔차 24.3W  [5s 학습 / 0s 평가, 9,438 win/s]
  ep101  loss 0.0775 (pw 0.0014 harm 0.3985)  [5s, 9,410 win/s]
  ep102  loss 0.0751 (pw 0.0014 harm 0.3992)  [5s, 9,416 win/s]
  ep103  loss 0.0749 (pw 0.0014 harm 0.4004)  [5s, 9,433 win/s]
  ep104  loss 0.0753 (pw 0.0014 harm 0.3977)  [5s, 9,417 win/s]
  ep105  loss 0.0776 (pw 0.0015 harm 0.3986)  [5s, 9,414 win/s]
  ep106  loss 0.0773 (pw 0.0015 harm 0.3964)  [5s, 9,440 win/s]
  ep107  loss 0.0762 (pw 0.0014 harm 0.3985)  [5s, 9,443 win/s]
  ep108  loss 0.0743 (pw 0.0014 harm 0.3940)  [5s, 9,414 win/s]
  ep109  loss 0.0740 (pw 0.0013 harm 0.3962)  [5s, 9,421 win/s]
  ep110  loss 0.0759 (pw 0.0014 harm 0.3970)  |  MAE 3.748W  F1 0.9236  저항3종 0.994  잔차 25.4W  [5s 학습 / 0s 평가, 9,455 win/s]
  ep111  loss 0.0755 (pw 0.0014 harm 0.3946)  [5s, 9,466 win/s]
  ep112  loss 0.0752 (pw 0.0014 harm 0.3943)  [5s, 9,430 win/s]
  ep113  loss 0.0766 (pw 0.0015 harm 0.3975)  [5s, 9,445 win/s]
  ep114  loss 0.0753 (pw 0.0014 harm 0.3945)  [5s, 9,459 win/s]
  ep115  loss 0.0759 (pw 0.0015 harm 0.4000)  [5s, 9,413 win/s]
  ep116  loss 0.0752 (pw 0.0014 harm 0.4006)  [5s, 9,409 win/s]
  ep117  loss 0.0756 (pw 0.0014 harm 0.3973)  [5s, 9,442 win/s]
  ep118  loss 0.0751 (pw 0.0014 harm 0.3963)  [5s, 9,440 win/s]
  ep119  loss 0.0736 (pw 0.0014 harm 0.3956)  [5s, 9,427 win/s]
  ep120  loss 0.0737 (pw 0.0014 harm 0.3943)  |  MAE 3.840W  F1 0.9237  저항3종 0.991  잔차 23.8W  [5s 학습 / 0s 평가, 9,427 win/s]
  ep121  loss 0.0736 (pw 0.0014 harm 0.3958)  [5s, 9,447 win/s]
  ep122  loss 0.0754 (pw 0.0015 harm 0.3970)  [5s, 9,411 win/s]
  ep123  loss 0.0737 (pw 0.0014 harm 0.3961)  [5s, 9,419 win/s]
  ep124  loss 0.0734 (pw 0.0014 harm 0.3990)  [5s, 9,433 win/s]
  ep125  loss 0.0733 (pw 0.0014 harm 0.3956)  [5s, 9,417 win/s]
  ep126  loss 0.0728 (pw 0.0014 harm 0.3980)  [5s, 9,392 win/s]
  ep127  loss 0.0742 (pw 0.0014 harm 0.3985)  [5s, 9,395 win/s]
  ep128  loss 0.0728 (pw 0.0014 harm 0.3976)  [5s, 9,421 win/s]
