====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hwY — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 57  loss 0.1084 (pw 0.0045 harm 0.4986)  [6s, 8,917 win/s]
  ep 58  loss 0.1072 (pw 0.0044 harm 0.5004)  [6s, 8,893 win/s]
  ep 59  loss 0.1088 (pw 0.0046 harm 0.4989)  [6s, 8,929 win/s]
  ep 60  loss 0.1073 (pw 0.0045 harm 0.5015)  |  MAE 3.960W  F1 0.9197  저항3종 0.995  잔차 25.3W  [6s 학습 / 0s 평가, 8,859 win/s]
  ep 61  loss 0.1058 (pw 0.0045 harm 0.4970)  [6s, 8,924 win/s]
  ep 62  loss 0.1072 (pw 0.0044 harm 0.4981)  [6s, 8,917 win/s]
  ep 63  loss 0.1054 (pw 0.0045 harm 0.4956)  [6s, 8,907 win/s]
  ep 64  loss 0.1059 (pw 0.0045 harm 0.4976)  [6s, 8,881 win/s]
  ep 65  loss 0.1064 (pw 0.0046 harm 0.4989)  [6s, 8,934 win/s]
  ep 66  loss 0.1039 (pw 0.0044 harm 0.4969)  [6s, 8,891 win/s]
  ep 67  loss 0.1054 (pw 0.0046 harm 0.4991)  [6s, 8,898 win/s]
  ep 68  loss 0.1061 (pw 0.0045 harm 0.4960)  [6s, 8,920 win/s]
  ep 69  loss 0.1055 (pw 0.0045 harm 0.4964)  [6s, 8,877 win/s]
  ep 70  loss 0.1055 (pw 0.0045 harm 0.4941)  |  MAE 3.960W  F1 0.9218  저항3종 0.993  잔차 25.2W  [6s 학습 / 0s 평가, 8,918 win/s]
  ep 71  loss 0.1030 (pw 0.0045 harm 0.4945)  [6s, 8,805 win/s]
  ep 72  loss 0.1053 (pw 0.0046 harm 0.4982)  [6s, 8,911 win/s]
  ep 73  loss 0.1014 (pw 0.0044 harm 0.4924)  [6s, 8,922 win/s]
  ep 74  loss 0.1044 (pw 0.0045 harm 0.4946)  [6s, 8,899 win/s]
  ep 75  loss 0.1030 (pw 0.0045 harm 0.4931)  [6s, 8,909 win/s]
  ep 76  loss 0.1033 (pw 0.0045 harm 0.4935)  [6s, 8,910 win/s]
  ep 77  loss 0.1028 (pw 0.0046 harm 0.4947)  [6s, 8,949 win/s]
  ep 78  loss 0.1020 (pw 0.0045 harm 0.4961)  [6s, 8,845 win/s]
  ep 79  loss 0.1008 (pw 0.0045 harm 0.4924)  [6s, 8,938 win/s]
  ep 80  loss 0.1016 (pw 0.0046 harm 0.4913)  |  MAE 3.837W  F1 0.9260  저항3종 0.991  잔차 23.6W  [6s 학습 / 0s 평가, 8,898 win/s]
  ep 81  loss 0.1026 (pw 0.0046 harm 0.4904)  [6s, 8,921 win/s]
  ep 82  loss 0.1017 (pw 0.0046 harm 0.4899)  [6s, 8,897 win/s]
  ep 83  loss 0.1005 (pw 0.0045 harm 0.4888)  [6s, 8,902 win/s]
  ep 84  loss 0.0998 (pw 0.0045 harm 0.4923)  [6s, 8,893 win/s]
  ep 85  loss 0.0991 (pw 0.0046 harm 0.4894)  [6s, 8,872 win/s]
  ep 86  loss 0.1017 (pw 0.0046 harm 0.4909)  [6s, 8,869 win/s]
  ep 87  loss 0.1006 (pw 0.0046 harm 0.4906)  [6s, 8,826 win/s]
  ep 88  loss 0.0990 (pw 0.0046 harm 0.4872)  [6s, 8,936 win/s]
  ep 89  loss 0.0981 (pw 0.0045 harm 0.4866)  [6s, 8,860 win/s]
  ep 90  loss 0.0999 (pw 0.0045 harm 0.4907)  |  MAE 4.620W  F1 0.9251  저항3종 0.985  잔차 26.7W  [6s 학습 / 0s 평가, 8,881 win/s]
  ep 91  loss 0.0989 (pw 0.0045 harm 0.4891)  [6s, 8,900 win/s]
  ep 92  loss 0.0977 (pw 0.0046 harm 0.4870)  [6s, 8,867 win/s]
  ep 93  loss 0.0980 (pw 0.0045 harm 0.4868)  [6s, 8,980 win/s]
  ep 94  loss 0.0974 (pw 0.0045 harm 0.4879)  [6s, 8,924 win/s]
  ep 95  loss 0.0973 (pw 0.0046 harm 0.4861)  [6s, 8,922 win/s]
  ep 96  loss 0.0970 (pw 0.0045 harm 0.4885)  [6s, 8,786 win/s]
  ep 97  loss 0.0950 (pw 0.0045 harm 0.4872)  [6s, 8,927 win/s]
  ep 98  loss 0.0993 (pw 0.0046 harm 0.4860)  [6s, 8,818 win/s]
  ep 99  loss 0.0964 (pw 0.0046 harm 0.4868)  [6s, 8,933 win/s]
  ep100  loss 0.0971 (pw 0.0047 harm 0.4842)  |  MAE 5.177W  F1 0.9202  저항3종 0.981  잔차 26.8W  [6s 학습 / 0s 평가, 8,884 win/s]
  ep101  loss 0.0974 (pw 0.0046 harm 0.4878)  [6s, 8,961 win/s]
  ep102  loss 0.0941 (pw 0.0045 harm 0.4868)  [6s, 8,959 win/s]
  ep103  loss 0.0935 (pw 0.0045 harm 0.4854)  [6s, 8,807 win/s]
  ep104  loss 0.0944 (pw 0.0046 harm 0.4839)  [6s, 8,907 win/s]
  ep105  loss 0.0976 (pw 0.0047 harm 0.4837)  [6s, 8,880 win/s]
  ep106  loss 0.0966 (pw 0.0047 harm 0.4834)  [6s, 8,934 win/s]
  ep107  loss 0.0954 (pw 0.0046 harm 0.4816)  [6s, 8,859 win/s]
  ep108  loss 0.0945 (pw 0.0046 harm 0.4840)  [6s, 8,916 win/s]
  ep109  loss 0.0933 (pw 0.0045 harm 0.4871)  [6s, 8,891 win/s]
  ep110  loss 0.0952 (pw 0.0046 harm 0.4832)  |  MAE 4.320W  F1 0.9248  저항3종 0.986  잔차 25.1W  [6s 학습 / 0s 평가, 8,850 win/s]
