====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psmeasured — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.2343 (pw 0.0028 harm 1.7686)  [5s, 9,640 win/s]
  ep 59  loss 0.2357 (pw 0.0029 harm 1.7766)  [5s, 9,653 win/s]
  ep 60  loss 0.2360 (pw 0.0027 harm 1.7996)  |  MAE 3.581W  F1 0.9260  저항3종 0.994  잔차 24.9W  [5s 학습 / 0s 평가, 9,658 win/s]
  ep 61  loss 0.2343 (pw 0.0027 harm 1.7824)  [5s, 9,600 win/s]
  ep 62  loss 0.2329 (pw 0.0027 harm 1.7646)  [5s, 9,640 win/s]
  ep 63  loss 0.2325 (pw 0.0027 harm 1.7753)  [5s, 9,643 win/s]
  ep 64  loss 0.2345 (pw 0.0027 harm 1.7853)  [5s, 9,666 win/s]
  ep 65  loss 0.2343 (pw 0.0028 harm 1.7900)  [5s, 9,645 win/s]
  ep 66  loss 0.2315 (pw 0.0026 harm 1.7806)  [5s, 9,659 win/s]
  ep 67  loss 0.2347 (pw 0.0027 harm 1.8080)  [5s, 9,647 win/s]
  ep 68  loss 0.2333 (pw 0.0027 harm 1.7812)  [5s, 9,647 win/s]
  ep 69  loss 0.2330 (pw 0.0027 harm 1.7783)  [5s, 9,659 win/s]
  ep 70  loss 0.2314 (pw 0.0027 harm 1.7724)  |  MAE 3.770W  F1 0.9235  저항3종 0.991  잔차 24.7W  [5s 학습 / 0s 평가, 9,675 win/s]
  ep 71  loss 0.2295 (pw 0.0026 harm 1.7751)  [5s, 9,654 win/s]
  ep 72  loss 0.2322 (pw 0.0027 harm 1.7807)  [5s, 9,642 win/s]
  ep 73  loss 0.2308 (pw 0.0027 harm 1.7882)  [5s, 9,647 win/s]
  ep 74  loss 0.2310 (pw 0.0028 harm 1.7694)  [5s, 9,668 win/s]
  ep 75  loss 0.2296 (pw 0.0027 harm 1.7703)  [5s, 9,627 win/s]
  ep 76  loss 0.2299 (pw 0.0027 harm 1.7733)  [5s, 9,642 win/s]
  ep 77  loss 0.2285 (pw 0.0027 harm 1.7700)  [5s, 9,648 win/s]
  ep 78  loss 0.2284 (pw 0.0026 harm 1.7758)  [5s, 9,644 win/s]
  ep 79  loss 0.2266 (pw 0.0026 harm 1.7675)  [5s, 9,638 win/s]
  ep 80  loss 0.2297 (pw 0.0027 harm 1.7842)  |  MAE 3.607W  F1 0.9261  저항3종 0.995  잔차 25.4W  [5s 학습 / 0s 평가, 9,618 win/s]
  ep 81  loss 0.2281 (pw 0.0027 harm 1.7614)  [5s, 9,620 win/s]
  ep 82  loss 0.2263 (pw 0.0027 harm 1.7495)  [5s, 9,635 win/s]
  ep 83  loss 0.2274 (pw 0.0026 harm 1.7767)  [5s, 9,658 win/s]
  ep 84  loss 0.2259 (pw 0.0026 harm 1.7665)  [5s, 9,662 win/s]
  ep 85  loss 0.2254 (pw 0.0026 harm 1.7698)  [5s, 9,628 win/s]
  ep 86  loss 0.2279 (pw 0.0026 harm 1.7729)  [5s, 9,635 win/s]
  ep 87  loss 0.2286 (pw 0.0026 harm 1.7843)  [5s, 9,638 win/s]
  ep 88  loss 0.2253 (pw 0.0026 harm 1.7674)  [5s, 9,648 win/s]
  ep 89  loss 0.2250 (pw 0.0025 harm 1.7672)  [5s, 9,659 win/s]
  ep 90  loss 0.2279 (pw 0.0025 harm 1.7945)  |  MAE 4.273W  F1 0.9227  저항3종 0.981  잔차 26.1W  [5s 학습 / 0s 평가, 9,598 win/s]
  ep 91  loss 0.2234 (pw 0.0026 harm 1.7551)  [5s, 9,611 win/s]
  ep 92  loss 0.2249 (pw 0.0025 harm 1.7814)  [5s, 9,648 win/s]
  ep 93  loss 0.2253 (pw 0.0025 harm 1.7743)  [5s, 9,656 win/s]
  ep 94  loss 0.2231 (pw 0.0026 harm 1.7621)  [5s, 9,665 win/s]
  ep 95  loss 0.2240 (pw 0.0026 harm 1.7663)  [5s, 9,666 win/s]
  ep 96  loss 0.2222 (pw 0.0025 harm 1.7647)  [5s, 9,604 win/s]
  ep 97  loss 0.2205 (pw 0.0024 harm 1.7699)  [5s, 9,666 win/s]
  ep 98  loss 0.2260 (pw 0.0026 harm 1.7736)  [5s, 9,649 win/s]
  ep 99  loss 0.2239 (pw 0.0025 harm 1.7798)  [5s, 9,640 win/s]
  ep100  loss 0.2251 (pw 0.0026 harm 1.7789)  |  MAE 3.645W  F1 0.9245  저항3종 0.991  잔차 25.4W  [5s 학습 / 0s 평가, 9,642 win/s]
