====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_oddmag — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.3765 (pw 0.0013 harm 3.4156)  [6s, 8,814 win/s]
  ep 59  loss 0.3806 (pw 0.0013 harm 3.4395)  [6s, 8,838 win/s]
  ep 60  loss 0.3812 (pw 0.0013 harm 3.4654)  |  MAE 3.412W  F1 0.9748  저항3종 0.993  잔차 25.6W  [6s 학습 / 0s 평가, 8,847 win/s]
  ep 61  loss 0.3713 (pw 0.0012 harm 3.3656)  [6s, 8,571 win/s]
  ep 62  loss 0.3784 (pw 0.0013 harm 3.4278)  [6s, 8,985 win/s]
  ep 63  loss 0.3664 (pw 0.0012 harm 3.3176)  [6s, 8,996 win/s]
  ep 64  loss 0.3635 (pw 0.0012 harm 3.2996)  [6s, 8,978 win/s]
  ep 65  loss 0.3793 (pw 0.0013 harm 3.4484)  [6s, 8,959 win/s]
  ep 66  loss 0.3815 (pw 0.0012 harm 3.4864)  [6s, 8,966 win/s]
  ep 67  loss 0.3699 (pw 0.0012 harm 3.3629)  [6s, 8,865 win/s]
  ep 68  loss 0.3798 (pw 0.0013 harm 3.4543)  [6s, 8,838 win/s]
  ep 69  loss 0.3600 (pw 0.0012 harm 3.2602)  [6s, 8,893 win/s]
  ep 70  loss 0.3780 (pw 0.0012 harm 3.4429)  |  MAE 3.245W  F1 0.9736  저항3종 0.996  잔차 24.8W  [6s 학습 / 0s 평가, 8,979 win/s]
  ep 71  loss 0.3772 (pw 0.0012 harm 3.4501)  [6s, 8,943 win/s]
  ep 72  loss 0.3739 (pw 0.0013 harm 3.3975)  [6s, 8,907 win/s]
  ep 73  loss 0.3672 (pw 0.0012 harm 3.3651)  [6s, 8,827 win/s]
  ep 74  loss 0.3691 (pw 0.0012 harm 3.3579)  [6s, 8,712 win/s]
  ep 75  loss 0.3697 (pw 0.0012 harm 3.3804)  [6s, 8,012 win/s]
  ep 76  loss 0.3629 (pw 0.0012 harm 3.3058)  [6s, 8,513 win/s]
  ep 77  loss 0.3665 (pw 0.0012 harm 3.3465)  [6s, 8,515 win/s]
  ep 78  loss 0.3785 (pw 0.0011 harm 3.4722)  [5s, 9,345 win/s]
