====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ze1 — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.0782 (pw 0.0016 harm 0.3979)  [5s, 9,627 win/s]
  ep 59  loss 0.0809 (pw 0.0017 harm 0.4035)  [5s, 9,612 win/s]
  ep 60  loss 0.0792 (pw 0.0017 harm 0.4035)  |  MAE 3.743W  F1 0.9600  저항3종 0.995  잔차 25.2W  [5s 학습 / 0s 평가, 9,604 win/s]
  ep 61  loss 0.0775 (pw 0.0016 harm 0.3997)  [5s, 9,599 win/s]
  ep 62  loss 0.0792 (pw 0.0017 harm 0.3994)  [5s, 9,605 win/s]
  ep 63  loss 0.0772 (pw 0.0016 harm 0.3985)  [5s, 9,608 win/s]
  ep 64  loss 0.0784 (pw 0.0016 harm 0.3997)  [5s, 9,607 win/s]
  ep 65  loss 0.0775 (pw 0.0017 harm 0.3995)  [5s, 9,611 win/s]
  ep 66  loss 0.0757 (pw 0.0016 harm 0.3963)  [5s, 9,612 win/s]
  ep 67  loss 0.0765 (pw 0.0016 harm 0.3997)  [5s, 9,611 win/s]
  ep 68  loss 0.0771 (pw 0.0016 harm 0.3957)  [5s, 9,609 win/s]
  ep 69  loss 0.0778 (pw 0.0017 harm 0.3980)  [5s, 9,614 win/s]
  ep 70  loss 0.0764 (pw 0.0017 harm 0.3971)  |  MAE 3.657W  F1 0.9624  저항3종 0.990  잔차 24.0W  [5s 학습 / 0s 평가, 9,604 win/s]
  ep 71  loss 0.0747 (pw 0.0016 harm 0.3946)  [5s, 9,607 win/s]
  ep 72  loss 0.0773 (pw 0.0017 harm 0.3997)  [5s, 9,591 win/s]
  ep 73  loss 0.0739 (pw 0.0016 harm 0.3946)  [5s, 9,602 win/s]
  ep 74  loss 0.0763 (pw 0.0017 harm 0.3991)  [5s, 9,604 win/s]
  ep 75  loss 0.0750 (pw 0.0016 harm 0.3977)  [5s, 9,602 win/s]
  ep 76  loss 0.0758 (pw 0.0016 harm 0.3985)  [5s, 9,603 win/s]
  ep 77  loss 0.0750 (pw 0.0016 harm 0.3971)  [5s, 9,608 win/s]
  ep 78  loss 0.0741 (pw 0.0016 harm 0.3984)  [5s, 9,607 win/s]
  ep 79  loss 0.0739 (pw 0.0016 harm 0.3989)  [5s, 9,609 win/s]
  ep 80  loss 0.0752 (pw 0.0017 harm 0.3965)  |  MAE 4.152W  F1 0.9642  저항3종 0.990  잔차 24.8W  [5s 학습 / 0s 평가, 9,600 win/s]
  ep 81  loss 0.0757 (pw 0.0017 harm 0.3971)  [5s, 9,599 win/s]
  ep 82  loss 0.0752 (pw 0.0017 harm 0.4010)  [5s, 9,588 win/s]
  ep 83  loss 0.0728 (pw 0.0016 harm 0.3927)  [5s, 9,583 win/s]
  ep 84  loss 0.0730 (pw 0.0016 harm 0.3953)  [5s, 9,609 win/s]
  ep 85  loss 0.0717 (pw 0.0016 harm 0.3945)  [5s, 9,611 win/s]
  ep 86  loss 0.0747 (pw 0.0017 harm 0.3971)  [5s, 9,614 win/s]
  ep 87  loss 0.0742 (pw 0.0016 harm 0.3947)  [5s, 9,596 win/s]
  ep 88  loss 0.0720 (pw 0.0016 harm 0.3929)  [5s, 9,609 win/s]
  ep 89  loss 0.0714 (pw 0.0016 harm 0.3914)  [5s, 9,592 win/s]
