====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_h2 — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 57  loss 0.1094 (pw 0.0045 harm 0.5016)  [6s, 8,995 win/s]
  ep 58  loss 0.1081 (pw 0.0043 harm 0.5024)  [6s, 8,918 win/s]
  ep 59  loss 0.1089 (pw 0.0045 harm 0.5009)  [6s, 8,992 win/s]
  ep 60  loss 0.1071 (pw 0.0044 harm 0.5028)  |  MAE 4.914W  F1 0.9216  저항3종 0.988  잔차 26.1W  [6s 학습 / 0s 평가, 8,989 win/s]
  ep 61  loss 0.1061 (pw 0.0044 harm 0.4982)  [6s, 8,984 win/s]
  ep 62  loss 0.1078 (pw 0.0044 harm 0.5001)  [6s, 8,975 win/s]
  ep 63  loss 0.1057 (pw 0.0044 harm 0.4972)  [6s, 8,972 win/s]
  ep 64  loss 0.1060 (pw 0.0043 harm 0.4989)  [6s, 8,933 win/s]
  ep 65  loss 0.1060 (pw 0.0044 harm 0.5004)  [6s, 8,984 win/s]
  ep 66  loss 0.1043 (pw 0.0044 harm 0.4988)  [6s, 8,980 win/s]
  ep 67  loss 0.1048 (pw 0.0044 harm 0.5013)  [6s, 8,985 win/s]
  ep 68  loss 0.1062 (pw 0.0044 harm 0.4980)  [6s, 8,980 win/s]
  ep 69  loss 0.1054 (pw 0.0044 harm 0.4981)  [6s, 8,963 win/s]
  ep 70  loss 0.1053 (pw 0.0044 harm 0.4968)  |  MAE 4.129W  F1 0.9222  저항3종 0.990  잔차 24.6W  [6s 학습 / 0s 평가, 8,934 win/s]
  ep 71  loss 0.1031 (pw 0.0044 harm 0.4960)  [6s, 8,979 win/s]
  ep 72  loss 0.1050 (pw 0.0044 harm 0.4985)  [6s, 8,983 win/s]
  ep 73  loss 0.1020 (pw 0.0044 harm 0.4941)  [6s, 8,986 win/s]
  ep 74  loss 0.1036 (pw 0.0044 harm 0.4954)  [6s, 8,991 win/s]
  ep 75  loss 0.1027 (pw 0.0044 harm 0.4949)  [6s, 8,959 win/s]
  ep 76  loss 0.1031 (pw 0.0044 harm 0.4955)  [6s, 8,941 win/s]
  ep 77  loss 0.1020 (pw 0.0044 harm 0.4973)  [6s, 8,988 win/s]
  ep 78  loss 0.1007 (pw 0.0044 harm 0.4968)  [6s, 8,978 win/s]
  ep 79  loss 0.1002 (pw 0.0044 harm 0.4936)  [6s, 8,967 win/s]
  ep 80  loss 0.1024 (pw 0.0045 harm 0.4952)  |  MAE 3.967W  F1 0.9257  저항3종 0.991  잔차 24.2W  [6s 학습 / 0s 평가, 8,997 win/s]
  ep 81  loss 0.1024 (pw 0.0045 harm 0.4923)  [6s, 8,985 win/s]
  ep 82  loss 0.1013 (pw 0.0045 harm 0.4913)  [6s, 8,944 win/s]
  ep 83  loss 0.0997 (pw 0.0044 harm 0.4910)  [6s, 8,997 win/s]
  ep 84  loss 0.0993 (pw 0.0044 harm 0.4931)  [6s, 8,983 win/s]
  ep 85  loss 0.0987 (pw 0.0044 harm 0.4911)  [6s, 8,981 win/s]
  ep 86  loss 0.1009 (pw 0.0045 harm 0.4920)  [6s, 8,970 win/s]
  ep 87  loss 0.1005 (pw 0.0045 harm 0.4942)  [6s, 8,953 win/s]
  ep 88  loss 0.0989 (pw 0.0045 harm 0.4885)  [6s, 8,937 win/s]
