### [fd0.2 재학습, 순서 복구 후] Sat Aug 22 22:14:02     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 62  loss 0.1915 (pw 0.0020 harm 1.4480)  [11s, 4,511 win/s]
  ep 63  loss 0.1923 (pw 0.0019 harm 1.4667)  [11s, 4,543 win/s]
  ep 64  loss 0.1887 (pw 0.0019 harm 1.4338)  [11s, 4,502 win/s]
  ep 65  loss 0.1911 (pw 0.0020 harm 1.4514)  [11s, 4,497 win/s]
  ep 66  loss 0.1884 (pw 0.0019 harm 1.4382)  [11s, 4,517 win/s]
  ep 67  loss 0.1883 (pw 0.0019 harm 1.4316)  [11s, 4,529 win/s]
  ep 68  loss 0.1926 (pw 0.0019 harm 1.4698)  [11s, 4,543 win/s]
  ep 69  loss 0.1926 (pw 0.0020 harm 1.4687)  [11s, 4,519 win/s]
  ep 70  loss 0.1903 (pw 0.0019 harm 1.4558)  [11s, 4,520 win/s]
  ep 71  loss 0.1911 (pw 0.0019 harm 1.4741)  [11s, 4,545 win/s]
  ep 72  loss 0.1906 (pw 0.0019 harm 1.4585)  [11s, 4,540 win/s]
  ep 73  loss 0.1871 (pw 0.0018 harm 1.4430)  [11s, 4,532 win/s]
  ep 74  loss 0.1923 (pw 0.0019 harm 1.4769)  [11s, 4,485 win/s]
  ep 75  loss 0.1928 (pw 0.0019 harm 1.4929)  [11s, 4,510 win/s]
  ep 76  loss 0.1883 (pw 0.0019 harm 1.4509)  [11s, 4,529 win/s]
  ep 77  loss 0.1905 (pw 0.0019 harm 1.4728)  [11s, 4,514 win/s]
  ep 78  loss 0.1863 (pw 0.0019 harm 1.4357)  [11s, 4,511 win/s]
  ep 79  loss 0.1893 (pw 0.0019 harm 1.4656)  [11s, 4,511 win/s]
  ep 80  loss 0.1899 (pw 0.0019 harm 1.4672)  [11s, 4,530 win/s]
  ep 81  loss 0.1873 (pw 0.0019 harm 1.4412)  [11s, 4,511 win/s]
  ep 82  loss 0.1863 (pw 0.0018 harm 1.4401)  [11s, 4,471 win/s]
  ep 83  loss 0.1903 (pw 0.0019 harm 1.4795)  [11s, 4,465 win/s]
  ep 84  loss 0.1882 (pw 0.0018 harm 1.4680)  [11s, 4,442 win/s]
  ep 85  loss 0.1880 (pw 0.0018 harm 1.4646)  [11s, 4,481 win/s]
  ep 86  loss 0.1874 (pw 0.0018 harm 1.4561)  [11s, 4,456 win/s]
  ep 87  loss 0.1872 (pw 0.0019 harm 1.4555)  [11s, 4,494 win/s]
  ep 88  loss 0.1880 (pw 0.0018 harm 1.4676)  [11s, 4,441 win/s]
  ep 89  loss 0.1847 (pw 0.0018 harm 1.4361)  [11s, 4,423 win/s]
  ep 90  loss 0.1849 (pw 0.0017 harm 1.4424)  [11s, 4,415 win/s]
  ep 91  loss 0.1878 (pw 0.0018 harm 1.4708)  [11s, 4,470 win/s]
  ep 92  loss 0.1866 (pw 0.0017 harm 1.4640)  [11s, 4,485 win/s]
  ep 93  loss 0.1879 (pw 0.0018 harm 1.4709)  [11s, 4,535 win/s]
  ep 94  loss 0.1869 (pw 0.0017 harm 1.4674)  [11s, 4,519 win/s]
  ep 95  loss 0.1841 (pw 0.0018 harm 1.4356)  [11s, 4,477 win/s]
