====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_drop — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1679 (pw 0.0010 harm 1.3936)  [5s, 9,411 win/s]
  ep 59  loss 0.1661 (pw 0.0011 harm 1.3660)  [5s, 9,444 win/s]
  ep 60  loss 0.1640 (pw 0.0011 harm 1.3550)  |  MAE 3.525W  F1 0.9704  저항3종 0.999  잔차 27.1W  [5s 학습 / 0s 평가, 9,471 win/s]
  ep 61  loss 0.1642 (pw 0.0010 harm 1.3615)  [5s, 9,464 win/s]
  ep 62  loss 0.1664 (pw 0.0010 harm 1.3825)  [5s, 9,445 win/s]
  ep 63  loss 0.1663 (pw 0.0010 harm 1.3839)  [5s, 9,466 win/s]
  ep 64  loss 0.1676 (pw 0.0010 harm 1.3980)  [5s, 9,487 win/s]
  ep 65  loss 0.1658 (pw 0.0010 harm 1.3777)  [5s, 9,442 win/s]
  ep 66  loss 0.1649 (pw 0.0010 harm 1.3843)  [5s, 9,443 win/s]
  ep 67  loss 0.1657 (pw 0.0010 harm 1.3861)  [5s, 9,500 win/s]
  ep 68  loss 0.1682 (pw 0.0010 harm 1.4026)  [5s, 9,477 win/s]
  ep 69  loss 0.1683 (pw 0.0010 harm 1.4029)  [5s, 9,469 win/s]
  ep 70  loss 0.1649 (pw 0.0010 harm 1.3776)  |  MAE 3.447W  F1 0.9758  저항3종 0.998  잔차 26.4W  [5s 학습 / 0s 평가, 9,469 win/s]
  ep 71  loss 0.1663 (pw 0.0010 harm 1.4081)  [5s, 9,492 win/s]
  ep 72  loss 0.1619 (pw 0.0010 harm 1.3517)  [5s, 9,459 win/s]
  ep 73  loss 0.1631 (pw 0.0009 harm 1.3814)  [5s, 9,451 win/s]
  ep 74  loss 0.1634 (pw 0.0010 harm 1.3642)  [5s, 9,477 win/s]
  ep 75  loss 0.1623 (pw 0.0010 harm 1.3634)  [5s, 9,488 win/s]
  ep 76  loss 0.1647 (pw 0.0010 harm 1.3874)  [5s, 9,444 win/s]
  ep 77  loss 0.1636 (pw 0.0010 harm 1.3816)  [5s, 9,454 win/s]
  ep 78  loss 0.1595 (pw 0.0010 harm 1.3395)  [5s, 9,469 win/s]
  ep 79  loss 0.1608 (pw 0.0010 harm 1.3573)  [5s, 9,468 win/s]
  ep 80  loss 0.1630 (pw 0.0010 harm 1.3670)  |  MAE 3.426W  F1 0.9728  저항3종 0.999  잔차 27.3W  [5s 학습 / 0s 평가, 9,412 win/s]
  ep 81  loss 0.1654 (pw 0.0010 harm 1.3929)  [5s, 9,415 win/s]
  ep 82  loss 0.1627 (pw 0.0010 harm 1.3739)  [5s, 9,474 win/s]
  ep 83  loss 0.1637 (pw 0.0010 harm 1.3898)  [5s, 9,446 win/s]
  ep 84  loss 0.1622 (pw 0.0010 harm 1.3783)  [5s, 9,425 win/s]
  ep 85  loss 0.1610 (pw 0.0009 harm 1.3775)  [5s, 9,470 win/s]
  ep 86  loss 0.1652 (pw 0.0010 harm 1.3973)  [5s, 9,457 win/s]
  ep 87  loss 0.1639 (pw 0.0010 harm 1.3925)  [5s, 9,429 win/s]
  ep 88  loss 0.1617 (pw 0.0009 harm 1.3790)  [5s, 9,439 win/s]
  ep 89  loss 0.1624 (pw 0.0009 harm 1.3925)  [5s, 9,463 win/s]
  ep 90  loss 0.1602 (pw 0.0009 harm 1.3660)  |  MAE 3.292W  F1 0.9751  저항3종 0.998  잔차 26.6W  [5s 학습 / 0s 평가, 9,468 win/s]
  ep 91  loss 0.1622 (pw 0.0010 harm 1.3820)  [5s, 9,433 win/s]
  ep 92  loss 0.1598 (pw 0.0009 harm 1.3638)  [5s, 9,460 win/s]
  ep 93  loss 0.1626 (pw 0.0009 harm 1.3890)  [5s, 9,488 win/s]
  ep 94  loss 0.1602 (pw 0.0009 harm 1.3742)  [5s, 9,460 win/s]
  ep 95  loss 0.1587 (pw 0.0009 harm 1.3598)  [5s, 9,447 win/s]
  ep 96  loss 0.1593 (pw 0.0009 harm 1.3676)  [5s, 9,477 win/s]
  ep 97  loss 0.1575 (pw 0.0009 harm 1.3553)  [5s, 9,468 win/s]
  ep 98  loss 0.1641 (pw 0.0009 harm 1.4059)  [5s, 9,477 win/s]
  ep 99  loss 0.1593 (pw 0.0009 harm 1.3623)  [5s, 9,451 win/s]
  ep100  loss 0.1598 (pw 0.0009 harm 1.3682)  |  MAE 3.209W  F1 0.9766  저항3종 1.000  잔차 26.1W  [5s 학습 / 0s 평가, 9,463 win/s]
  ep101  loss 0.1593 (pw 0.0009 harm 1.3703)  [5s, 9,439 win/s]
  ep102  loss 0.1566 (pw 0.0009 harm 1.3566)  [5s, 9,428 win/s]
  ep103  loss 0.1570 (pw 0.0009 harm 1.3600)  [5s, 9,407 win/s]
  ep104  loss 0.1580 (pw 0.0009 harm 1.3621)  [5s, 9,446 win/s]
  ep105  loss 0.1599 (pw 0.0009 harm 1.3666)  [5s, 9,388 win/s]
  ep106  loss 0.1631 (pw 0.0010 harm 1.3992)  [5s, 9,413 win/s]
  ep107  loss 0.1590 (pw 0.0009 harm 1.3697)  [5s, 9,417 win/s]
  ep108  loss 0.1602 (pw 0.0009 harm 1.3891)  [5s, 9,461 win/s]
  ep109  loss 0.1577 (pw 0.0009 harm 1.3683)  [5s, 9,413 win/s]
  ep110  loss 0.1605 (pw 0.0009 harm 1.3885)  |  MAE 3.084W  F1 0.9733  저항3종 0.998  잔차 25.3W  [5s 학습 / 0s 평가, 9,375 win/s]
  ep111  loss 0.1613 (pw 0.0009 harm 1.3958)  [5s, 9,445 win/s]
  ep112  loss 0.1633 (pw 0.0009 harm 1.4146)  [5s, 9,427 win/s]
  ep113  loss 0.1607 (pw 0.0009 harm 1.3827)  [5s, 9,402 win/s]
  ep114  loss 0.1568 (pw 0.0009 harm 1.3585)  [5s, 9,386 win/s]
