  ep 30  loss 0.2168 (pw 0.0067 harm 0.8119 z 0.0481)  |  MAE 11.294W  F1 0.8615  저항3종 0.996  잔차 42.7W  [6s 학습 / 1s 평가, 8,204 win/s]
  ep 31  loss 0.2160 (pw 0.0067 harm 0.8116 z 0.0465)  [6s, 8,224 win/s]
  ep 32  loss 0.2160 (pw 0.0067 harm 0.8192 z 0.0462)  [6s, 8,226 win/s]
  ep 33  loss 0.2134 (pw 0.0066 harm 0.8127 z 0.0455)  [6s, 8,203 win/s]
  ep 34  loss 0.2130 (pw 0.0065 harm 0.8183 z 0.0453)  [6s, 8,220 win/s]
  ep 35  loss 0.2113 (pw 0.0065 harm 0.8120 z 0.0459)  [6s, 8,215 win/s]
  ep 36  loss 0.2115 (pw 0.0064 harm 0.8206 z 0.0456)  [6s, 8,203 win/s]
  ep 37  loss 0.2079 (pw 0.0064 harm 0.8034 z 0.0444)  [6s, 8,215 win/s]
  ep 38  loss 0.2072 (pw 0.0063 harm 0.8102 z 0.0441)  [6s, 8,216 win/s]
  ep 39  loss 0.2062 (pw 0.0062 harm 0.8094 z 0.0450)  [6s, 8,197 win/s]
  ep 40  loss 0.2047 (pw 0.0061 harm 0.8014 z 0.0438)  |  MAE 8.766W  F1 0.9067  저항3종 0.991  잔차 33.9W  [6s 학습 / 1s 평가, 8,215 win/s]
  ep 41  loss 0.2035 (pw 0.0060 harm 0.8015 z 0.0441)  [6s, 8,210 win/s]
  ep 42  loss 0.2037 (pw 0.0059 harm 0.8047 z 0.0439)  [6s, 8,201 win/s]
  ep 43  loss 0.2008 (pw 0.0060 harm 0.8051 z 0.0430)  [6s, 8,215 win/s]
  ep 44  loss 0.2001 (pw 0.0058 harm 0.8033 z 0.0423)  [6s, 8,194 win/s]
  ep 45  loss 0.2000 (pw 0.0059 harm 0.8032 z 0.0430)  [6s, 8,207 win/s]
  ep 46  loss 0.1981 (pw 0.0058 harm 0.7947 z 0.0435)  [6s, 8,212 win/s]
  ep 47  loss 0.2002 (pw 0.0059 harm 0.8009 z 0.0408)  [6s, 8,206 win/s]
  ep 48  loss 0.1950 (pw 0.0057 harm 0.7933 z 0.0410)  [6s, 8,200 win/s]
  ep 49  loss 0.1955 (pw 0.0057 harm 0.8025 z 0.0416)  [6s, 8,206 win/s]
  ep 50  loss 0.1937 (pw 0.0056 harm 0.7870 z 0.0412)  |  MAE 7.151W  F1 0.9074  저항3종 0.996  잔차 30.3W  [6s 학습 / 1s 평가, 8,209 win/s]
  ep 51  loss 0.1955 (pw 0.0057 harm 0.7992 z 0.0426)  [6s, 8,207 win/s]
  ep 52  loss 0.1933 (pw 0.0056 harm 0.7944 z 0.0406)  [6s, 8,208 win/s]
  ep 53  loss 0.1938 (pw 0.0057 harm 0.7953 z 0.0410)  [6s, 8,203 win/s]
  ep 54  loss 0.1897 (pw 0.0055 harm 0.7913 z 0.0396)  [6s, 8,189 win/s]
  ep 55  loss 0.1895 (pw 0.0055 harm 0.7844 z 0.0404)  [6s, 8,203 win/s]
  ep 56  loss 0.1910 (pw 0.0055 harm 0.7939 z 0.0393)  [6s, 8,185 win/s]
  ep 57  loss 0.1901 (pw 0.0054 harm 0.7934 z 0.0385)  [6s, 8,203 win/s]
  ep 58  loss 0.1890 (pw 0.0054 harm 0.7943 z 0.0383)  [6s, 8,196 win/s]
  ep 59  loss 0.1865 (pw 0.0054 harm 0.7835 z 0.0399)  [6s, 8,198 win/s]
  ep 60  loss 0.1869 (pw 0.0053 harm 0.7890 z 0.0387)  |  MAE 7.008W  F1 0.9141  저항3종 0.996  잔차 29.4W  [6s 학습 / 1s 평가, 8,193 win/s]
  ep 61  loss 0.1844 (pw 0.0053 harm 0.7854 z 0.0396)  [6s, 8,200 win/s]
  ep 62  loss 0.1843 (pw 0.0053 harm 0.7863 z 0.0374)  [6s, 8,192 win/s]
  ep 63  loss 0.1832 (pw 0.0052 harm 0.7820 z 0.0386)  [6s, 8,200 win/s]
  ep 64  loss 0.1826 (pw 0.0052 harm 0.7836 z 0.0381)  [6s, 8,200 win/s]
  ep 65  loss 0.1811 (pw 0.0051 harm 0.7815 z 0.0353)  [6s, 8,190 win/s]
  ep 66  loss 0.1795 (pw 0.0051 harm 0.7804 z 0.0371)  [6s, 8,185 win/s]
  ep 67  loss 0.1798 (pw 0.0050 harm 0.7885 z 0.0349)  [6s, 8,195 win/s]
  ep 68  loss 0.1789 (pw 0.0050 harm 0.7782 z 0.0359)  [6s, 8,189 win/s]
  ep 69  loss 0.1796 (pw 0.0051 harm 0.7813 z 0.0366)  [6s, 8,201 win/s]
  ep 70  loss 0.1781 (pw 0.0051 harm 0.7742 z 0.0352)  |  MAE 6.687W  F1 0.9199  저항3종 0.996  잔차 27.8W  [6s 학습 / 1s 평가, 8,199 win/s]
  ep 71  loss 0.1780 (pw 0.0051 harm 0.7816 z 0.0370)  [6s, 8,194 win/s]
  ep 72  loss 0.1755 (pw 0.0049 harm 0.7807 z 0.0355)  [6s, 8,196 win/s]
  ep 73  loss 0.1748 (pw 0.0048 harm 0.7748 z 0.0351)  [6s, 8,196 win/s]
  ep 74  loss 0.1740 (pw 0.0049 harm 0.7783 z 0.0345)  [6s, 8,198 win/s]
  ep 75  loss 0.1731 (pw 0.0049 harm 0.7710 z 0.0332)  [6s, 8,197 win/s]
  ep 76  loss 0.1757 (pw 0.0051 harm 0.7833 z 0.0348)  [6s, 8,179 win/s]
  ep 77  loss 0.1730 (pw 0.0050 harm 0.7739 z 0.0348)  [6s, 8,191 win/s]
  ep 78  loss 0.1718 (pw 0.0047 harm 0.7780 z 0.0346)  [6s, 8,196 win/s]
  ep 79  loss 0.1708 (pw 0.0047 harm 0.7766 z 0.0345)  [6s, 8,195 win/s]
  ep 80  loss 0.1703 (pw 0.0047 harm 0.7747 z 0.0328)  |  MAE 6.083W  F1 0.9236  저항3종 0.996  잔차 26.6W  [6s 학습 / 1s 평가, 8,195 win/s]
  ep 81  loss 0.1704 (pw 0.0047 harm 0.7710 z 0.0340)  [6s, 8,194 win/s]
  ep 82  loss 0.1703 (pw 0.0048 harm 0.7716 z 0.0336)  [6s, 8,194 win/s]
  ep 83  loss 0.1691 (pw 0.0047 harm 0.7772 z 0.0328)  [6s, 8,192 win/s]
  ep 84  loss 0.1674 (pw 0.0047 harm 0.7762 z 0.0321)  [6s, 8,187 win/s]
  ep 85  loss 0.1663 (pw 0.0045 harm 0.7729 z 0.0320)  [6s, 8,184 win/s]
  ep 86  loss 0.1660 (pw 0.0046 harm 0.7686 z 0.0306)  [6s, 8,189 win/s]
  ep 87  loss 0.1643 (pw 0.0045 harm 0.7681 z 0.0311)  [6s, 8,177 win/s]
  ep 88  loss 0.1666 (pw 0.0047 harm 0.7792 z 0.0318)  [6s, 8,188 win/s]
  ep 89  loss 0.1661 (pw 0.0046 harm 0.7737 z 0.0323)  [6s, 8,192 win/s]
  ep 90  loss 0.1627 (pw 0.0045 harm 0.7712 z 0.0323)  |  MAE 5.889W  F1 0.9259  저항3종 0.998  잔차 25.8W  [6s 학습 / 1s 평가, 8,181 win/s]
  ep 91  loss 0.1612 (pw 0.0044 harm 0.7687 z 0.0312)  [6s, 8,186 win/s]
  ep 92  loss 0.1625 (pw 0.0045 harm 0.7754 z 0.0304)  [6s, 8,192 win/s]
  ep 93  loss 0.1625 (pw 0.0043 harm 0.7709 z 0.0326)  [6s, 8,185 win/s]
  ep 94  loss 0.1618 (pw 0.0044 harm 0.7715 z 0.0322)  [6s, 8,191 win/s]
  ep 95  loss 0.1608 (pw 0.0043 harm 0.7707 z 0.0299)  [6s, 8,190 win/s]
  ep 96  loss 0.1607 (pw 0.0043 harm 0.7720 z 0.0301)  [6s, 8,188 win/s]
  ep 97  loss 0.1592 (pw 0.0042 harm 0.7752 z 0.0310)  [6s, 8,186 win/s]
  ep 98  loss 0.1577 (pw 0.0043 harm 0.7661 z 0.0297)  [6s, 8,177 win/s]
  ep 99  loss 0.1595 (pw 0.0042 harm 0.7743 z 0.0305)  [6s, 8,192 win/s]
  ep100  loss 0.1582 (pw 0.0042 harm 0.7662 z 0.0291)  |  MAE 5.806W  F1 0.9276  저항3종 0.997  잔차 25.7W  [6s 학습 / 1s 평가, 8,189 win/s]
  ep101  loss 0.1582 (pw 0.0042 harm 0.7695 z 0.0293)  [6s, 8,188 win/s]
  ep102  loss 0.1557 (pw 0.0041 harm 0.7679 z 0.0291)  [6s, 8,190 win/s]
  ep103  loss 0.1558 (pw 0.0041 harm 0.7667 z 0.0289)  [6s, 8,194 win/s]
  ep104  loss 0.1561 (pw 0.0042 harm 0.7703 z 0.0290)  [6s, 8,185 win/s]
  ep105  loss 0.1555 (pw 0.0042 harm 0.7634 z 0.0286)  [6s, 8,188 win/s]
  ep106  loss 0.1572 (pw 0.0042 harm 0.7720 z 0.0289)  [6s, 8,194 win/s]
  ep107  loss 0.1550 (pw 0.0041 harm 0.7675 z 0.0279)  [6s, 8,203 win/s]
  ep108  loss 0.1541 (pw 0.0041 harm 0.7697 z 0.0278)  [6s, 8,181 win/s]
  ep109  loss 0.1533 (pw 0.0040 harm 0.7663 z 0.0272)  [6s, 8,191 win/s]
  ep110  loss 0.1551 (pw 0.0041 harm 0.7686 z 0.0285)  |  MAE 5.721W  F1 0.9342  저항3종 0.996  잔차 25.5W  [6s 학습 / 1s 평가, 8,174 win/s]
  ep111  loss 0.1531 (pw 0.0040 harm 0.7631 z 0.0272)  [6s, 8,186 win/s]
  ep112  loss 0.1537 (pw 0.0041 harm 0.7648 z 0.0272)  [6s, 8,188 win/s]
  ep113  loss 0.1523 (pw 0.0040 harm 0.7659 z 0.0274)  [6s, 8,193 win/s]
  ep114  loss 0.1500 (pw 0.0039 harm 0.7604 z 0.0270)  [6s, 8,192 win/s]
  ep115  loss 0.1529 (pw 0.0039 harm 0.7695 z 0.0293)  [6s, 8,194 win/s]
  ep116  loss 0.1515 (pw 0.0039 harm 0.7733 z 0.0262)  [6s, 8,191 win/s]
  ep117  loss 0.1514 (pw 0.0040 harm 0.7649 z 0.0268)  [6s, 8,189 win/s]
  ep118  loss 0.1511 (pw 0.0039 harm 0.7637 z 0.0270)  [6s, 8,192 win/s]
  ep119  loss 0.1482 (pw 0.0039 harm 0.7570 z 0.0273)  [6s, 8,186 win/s]
  ep120  loss 0.1484 (pw 0.0039 harm 0.7637 z 0.0252)  |  MAE 5.435W  F1 0.9306  저항3종 0.996  잔차 25.3W  [6s 학습 / 1s 평가, 8,185 win/s]
  ep121  loss 0.1493 (pw 0.0039 harm 0.7669 z 0.0263)  [6s, 8,192 win/s]
  ep122  loss 0.1500 (pw 0.0039 harm 0.7659 z 0.0264)  [6s, 8,193 win/s]
  ep123  loss 0.1502 (pw 0.0038 harm 0.7717 z 0.0264)  [6s, 8,190 win/s]
  ep124  loss 0.1500 (pw 0.0039 harm 0.7671 z 0.0245)  [6s, 8,187 win/s]
  ep125  loss 0.1467 (pw 0.0038 harm 0.7634 z 0.0254)  [6s, 8,190 win/s]
  ep126  loss 0.1466 (pw 0.0038 harm 0.7610 z 0.0263)  [6s, 8,193 win/s]
  ep127  loss 0.1455 (pw 0.0038 harm 0.7577 z 0.0249)  [6s, 8,185 win/s]
  ep128  loss 0.1466 (pw 0.0038 harm 0.7625 z 0.0251)  [6s, 8,191 win/s]
  ep129  loss 0.1468 (pw 0.0037 harm 0.7633 z 0.0260)  [6s, 8,188 win/s]
  ep130  loss 0.1474 (pw 0.0037 harm 0.7672 z 0.0247)  |  MAE 5.505W  F1 0.9304  저항3종 0.998  잔차 25.4W  [6s 학습 / 1s 평가, 8,183 win/s]
  ep131  loss 0.1475 (pw 0.0038 harm 0.7654 z 0.0249)  [6s, 8,188 win/s]
  ep132  loss 0.1439 (pw 0.0036 harm 0.7589 z 0.0246)  [6s, 8,195 win/s]
  ep133  loss 0.1444 (pw 0.0036 harm 0.7613 z 0.0248)  [6s, 8,192 win/s]
  ep134  loss 0.1445 (pw 0.0037 harm 0.7608 z 0.0247)  [6s, 8,186 win/s]
  ep135  loss 0.1454 (pw 0.0037 harm 0.7633 z 0.0244)  [6s, 8,193 win/s]
  ep136  loss 0.1458 (pw 0.0037 harm 0.7677 z 0.0243)  [6s, 8,184 win/s]
  ep137  loss 0.1452 (pw 0.0037 harm 0.7692 z 0.0236)  [6s, 8,188 win/s]
  ep138  loss 0.1419 (pw 0.0036 harm 0.7536 z 0.0258)  [6s, 8,192 win/s]
  ep139  loss 0.1433 (pw 0.0036 harm 0.7641 z 0.0234)  [6s, 8,185 win/s]
  ep140  loss 0.1438 (pw 0.0037 harm 0.7641 z 0.0236)  |  MAE 5.564W  F1 0.9382  저항3종 0.997  잔차 25.4W  [6s 학습 / 1s 평가, 8,190 win/s]
  ep141  loss 0.1439 (pw 0.0036 harm 0.7598 z 0.0247)  [6s, 8,179 win/s]
  ep142  loss 0.1438 (pw 0.0037 harm 0.7645 z 0.0228)  [6s, 8,181 win/s]
  ep143  loss 0.1419 (pw 0.0037 harm 0.7582 z 0.0224)  [6s, 8,189 win/s]
  ep144  loss 0.1417 (pw 0.0035 harm 0.7593 z 0.0238)  [6s, 8,185 win/s]
  ep145  loss 0.1423 (pw 0.0036 harm 0.7653 z 0.0225)  [6s, 8,189 win/s]
  ep146  loss 0.1433 (pw 0.0036 harm 0.7618 z 0.0236)  [6s, 8,183 win/s]
  ep147  loss 0.1414 (pw 0.0035 harm 0.7612 z 0.0235)  [6s, 8,185 win/s]
  ep148  loss 0.1408 (pw 0.0035 harm 0.7587 z 0.0239)  [6s, 8,187 win/s]
  ep149  loss 0.1387 (pw 0.0035 harm 0.7555 z 0.0229)  [6s, 8,181 win/s]
  ep150  loss 0.1406 (pw 0.0035 harm 0.7707 z 0.0246)  |  MAE 5.219W  F1 0.9337  저항3종 0.998  잔차 24.5W  [6s 학습 / 1s 평가, 8,184 win/s]
  ep151  loss 0.1400 (pw 0.0035 harm 0.7562 z 0.0223)  [6s, 8,182 win/s]
  ep152  loss 0.1406 (pw 0.0035 harm 0.7648 z 0.0221)  [6s, 8,168 win/s]
  ep153  loss 0.1397 (pw 0.0035 harm 0.7574 z 0.0228)  [6s, 8,187 win/s]
  ep154  loss 0.1395 (pw 0.0035 harm 0.7559 z 0.0227)  [6s, 8,185 win/s]
  ep155  loss 0.1402 (pw 0.0035 harm 0.7650 z 0.0227)  [6s, 8,187 win/s]
  ep156  loss 0.1396 (pw 0.0034 harm 0.7647 z 0.0230)  [6s, 8,187 win/s]
  ep157  loss 0.1384 (pw 0.0034 harm 0.7598 z 0.0221)  [6s, 8,184 win/s]
  ep158  loss 0.1368 (pw 0.0034 harm 0.7500 z 0.0218)  [6s, 8,181 win/s]
  ep159  loss 0.1384 (pw 0.0034 harm 0.7606 z 0.0222)  [6s, 8,183 win/s]
  ep160  loss 0.1382 (pw 0.0034 harm 0.7577 z 0.0231)  |  MAE 5.187W  F1 0.9365  저항3종 0.997  잔차 24.6W  [6s 학습 / 1s 평가, 8,190 win/s]
  ep161  loss 0.1367 (pw 0.0034 harm 0.7536 z 0.0228)  [6s, 8,186 win/s]
  ep162  loss 0.1363 (pw 0.0034 harm 0.7564 z 0.0213)  [6s, 8,167 win/s]
  ep163  loss 0.1365 (pw 0.0033 harm 0.7548 z 0.0231)  [6s, 8,182 win/s]
  ep164  loss 0.1375 (pw 0.0035 harm 0.7589 z 0.0218)  [6s, 8,186 win/s]
  ep165  loss 0.1382 (pw 0.0034 harm 0.7662 z 0.0216)  [6s, 8,186 win/s]
  ep166  loss 0.1370 (pw 0.0034 harm 0.7577 z 0.0222)  [6s, 8,178 win/s]
  ep167  loss 0.1359 (pw 0.0034 harm 0.7623 z 0.0220)  [6s, 8,172 win/s]
  ep168  loss 0.1344 (pw 0.0033 harm 0.7537 z 0.0214)  [6s, 8,188 win/s]
  ep169  loss 0.1358 (pw 0.0033 harm 0.7619 z 0.0209)  [6s, 8,180 win/s]
  ep170  loss 0.1353 (pw 0.0033 harm 0.7518 z 0.0213)  |  MAE 5.230W  F1 0.9363  저항3종 0.999  잔차 24.8W  [6s 학습 / 1s 평가, 8,174 win/s]
  ep171  loss 0.1368 (pw 0.0034 harm 0.7577 z 0.0216)  [6s, 8,186 win/s]
  ep172  loss 0.1364 (pw 0.0034 harm 0.7632 z 0.0205)  [6s, 8,185 win/s]
  ep173  loss 0.1349 (pw 0.0034 harm 0.7568 z 0.0209)  [6s, 8,169 win/s]
  ep174  loss 0.1337 (pw 0.0032 harm 0.7549 z 0.0210)  [6s, 8,181 win/s]
  ep175  loss 0.1345 (pw 0.0033 harm 0.7530 z 0.0230)  [6s, 8,188 win/s]
  ep176  loss 0.1350 (pw 0.0033 harm 0.7623 z 0.0220)  [6s, 8,184 win/s]
  ep177  loss 0.1340 (pw 0.0033 harm 0.7589 z 0.0204)  [6s, 8,178 win/s]
  ep178  loss 0.1346 (pw 0.0033 harm 0.7570 z 0.0209)  [6s, 8,177 win/s]
  ep179  loss 0.1323 (pw 0.0033 harm 0.7505 z 0.0200)  [6s, 8,172 win/s]
  ep180  loss 0.1327 (pw 0.0032 harm 0.7566 z 0.0206)  |  MAE 5.202W  F1 0.9375  저항3종 0.998  잔차 24.7W  [6s 학습 / 1s 평가, 8,179 win/s]
  ep181  loss 0.1346 (pw 0.0033 harm 0.7614 z 0.0208)  [6s, 8,186 win/s]
  ep182  loss 0.1322 (pw 0.0032 harm 0.7541 z 0.0209)  [6s, 8,181 win/s]
  ep183  loss 0.1336 (pw 0.0032 harm 0.7618 z 0.0205)  [6s, 8,181 win/s]
  ep184  loss 0.1336 (pw 0.0033 harm 0.7561 z 0.0207)  [6s, 8,169 win/s]
  ep185  loss 0.1319 (pw 0.0032 harm 0.7560 z 0.0197)  [6s, 8,186 win/s]
  ep186  loss 0.1324 (pw 0.0032 harm 0.7575 z 0.0201)  [6s, 8,178 win/s]
  ep187  loss 0.1323 (pw 0.0032 harm 0.7549 z 0.0202)  [6s, 8,179 win/s]
  ep188  loss 0.1314 (pw 0.0031 harm 0.7566 z 0.0200)  [6s, 8,183 win/s]
  ep189  loss 0.1316 (pw 0.0032 harm 0.7543 z 0.0200)  [6s, 8,184 win/s]
  ep190  loss 0.1312 (pw 0.0032 harm 0.7512 z 0.0197)  |  MAE 5.179W  F1 0.9353  저항3종 0.998  잔차 24.6W  [6s 학습 / 1s 평가, 8,178 win/s]
  ep191  loss 0.1312 (pw 0.0031 harm 0.7584 z 0.0200)  [6s, 8,180 win/s]
  ep192  loss 0.1302 (pw 0.0032 harm 0.7553 z 0.0198)  [6s, 8,175 win/s]
  ep193  loss 0.1313 (pw 0.0032 harm 0.7549 z 0.0201)  [6s, 8,175 win/s]
  ep194  loss 0.1306 (pw 0.0031 harm 0.7551 z 0.0200)  [6s, 8,166 win/s]
  ep195  loss 0.1305 (pw 0.0032 harm 0.7532 z 0.0195)  [6s, 8,174 win/s]
  ep196  loss 0.1298 (pw 0.0031 harm 0.7531 z 0.0194)  [6s, 8,181 win/s]
  ep197  loss 0.1300 (pw 0.0031 harm 0.7542 z 0.0194)  [6s, 8,177 win/s]
  ep198  loss 0.1295 (pw 0.0031 harm 0.7562 z 0.0195)  [6s, 8,175 win/s]
  ep199  loss 0.1284 (pw 0.0031 harm 0.7562 z 0.0191)  [6s, 8,176 win/s]
  ep200  loss 0.1296 (pw 0.0031 harm 0.7502 z 0.0192)  |  MAE 5.142W  F1 0.9367  저항3종 0.998  잔차 24.8W  [6s 학습 / 1s 평가, 8,180 win/s]
  ep201  loss 0.1302 (pw 0.0031 harm 0.7630 z 0.0194)  [6s, 8,183 win/s]
  ep202  loss 0.1287 (pw 0.0031 harm 0.7478 z 0.0192)  [6s, 8,175 win/s]
  ep203  loss 0.1284 (pw 0.0031 harm 0.7560 z 0.0190)  [6s, 8,179 win/s]
  ep204  loss 0.1291 (pw 0.0031 harm 0.7553 z 0.0191)  [6s, 8,188 win/s]
  ep205  loss 0.1271 (pw 0.0030 harm 0.7485 z 0.0193)  [6s, 8,172 win/s]
  ep206  loss 0.1296 (pw 0.0031 harm 0.7614 z 0.0193)  [6s, 8,183 win/s]
  ep207  loss 0.1277 (pw 0.0031 harm 0.7495 z 0.0191)  [6s, 8,183 win/s]
  ep208  loss 0.1292 (pw 0.0031 harm 0.7584 z 0.0196)  [6s, 8,173 win/s]
  ep209  loss 0.1269 (pw 0.0030 harm 0.7521 z 0.0186)  [6s, 8,185 win/s]
  ep210  loss 0.1268 (pw 0.0031 harm 0.7493 z 0.0187)  |  MAE 5.026W  F1 0.9420  저항3종 0.997  잔차 23.9W  [6s 학습 / 1s 평가, 8,178 win/s]
  ep211  loss 0.1278 (pw 0.0031 harm 0.7572 z 0.0188)  [6s, 8,184 win/s]
  ep212  loss 0.1276 (pw 0.0030 harm 0.7540 z 0.0188)  [6s, 8,183 win/s]
  ep213  loss 0.1282 (pw 0.0031 harm 0.7563 z 0.0185)  [6s, 8,182 win/s]
  ep214  loss 0.1277 (pw 0.0030 harm 0.7545 z 0.0189)  [6s, 8,184 win/s]
  ep215  loss 0.1264 (pw 0.0030 harm 0.7490 z 0.0183)  [6s, 8,179 win/s]
  ep216  loss 0.1263 (pw 0.0030 harm 0.7527 z 0.0184)  [6s, 8,168 win/s]
  ep217  loss 0.1273 (pw 0.0030 harm 0.7557 z 0.0186)  [6s, 8,179 win/s]
  ep218  loss 0.1266 (pw 0.0030 harm 0.7511 z 0.0185)  [6s, 8,183 win/s]
  ep219  loss 0.1268 (pw 0.0030 harm 0.7535 z 0.0187)  [6s, 8,176 win/s]
