====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsm — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.0904 (pw 0.0034 harm 0.4552)  [6s, 8,773 win/s]
  ep 59  loss 0.0926 (pw 0.0035 harm 0.4544)  [6s, 8,785 win/s]
  ep 60  loss 0.0891 (pw 0.0033 harm 0.4544)  |  MAE 3.803W  F1 0.9615  저항3종 0.995  잔차 25.4W  [6s 학습 / 0s 평가, 8,789 win/s]
  ep 61  loss 0.0895 (pw 0.0033 harm 0.4534)  [6s, 8,769 win/s]
  ep 62  loss 0.0897 (pw 0.0034 harm 0.4497)  [6s, 8,755 win/s]
  ep 63  loss 0.0897 (pw 0.0034 harm 0.4513)  [6s, 8,821 win/s]
  ep 64  loss 0.0889 (pw 0.0034 harm 0.4499)  [6s, 8,826 win/s]
  ep 65  loss 0.0887 (pw 0.0033 harm 0.4525)  [6s, 8,772 win/s]
  ep 66  loss 0.0869 (pw 0.0033 harm 0.4503)  [6s, 8,768 win/s]
  ep 67  loss 0.0870 (pw 0.0033 harm 0.4473)  [6s, 8,751 win/s]
  ep 68  loss 0.0886 (pw 0.0034 harm 0.4529)  [6s, 8,797 win/s]
  ep 69  loss 0.0889 (pw 0.0035 harm 0.4483)  [6s, 8,776 win/s]
  ep 70  loss 0.0879 (pw 0.0034 harm 0.4487)  |  MAE 3.728W  F1 0.9591  저항3종 0.996  잔차 24.7W  [6s 학습 / 0s 평가, 8,806 win/s]
  ep 71  loss 0.0861 (pw 0.0033 harm 0.4503)  [6s, 8,798 win/s]
  ep 72  loss 0.0872 (pw 0.0033 harm 0.4429)  [6s, 8,694 win/s]
  ep 73  loss 0.0847 (pw 0.0032 harm 0.4461)  [6s, 8,785 win/s]
  ep 74  loss 0.0875 (pw 0.0034 harm 0.4454)  [6s, 8,827 win/s]
  ep 75  loss 0.0870 (pw 0.0034 harm 0.4511)  [6s, 8,736 win/s]
  ep 76  loss 0.0857 (pw 0.0033 harm 0.4437)  [6s, 8,807 win/s]
  ep 77  loss 0.0854 (pw 0.0033 harm 0.4459)  [6s, 8,837 win/s]
  ep 78  loss 0.0839 (pw 0.0033 harm 0.4409)  [6s, 8,763 win/s]
  ep 79  loss 0.0842 (pw 0.0033 harm 0.4445)  [6s, 8,768 win/s]
  ep 80  loss 0.0859 (pw 0.0033 harm 0.4468)  |  MAE 3.701W  F1 0.9568  저항3종 0.995  잔차 24.7W  [6s 학습 / 0s 평가, 8,813 win/s]
  ep 81  loss 0.0870 (pw 0.0034 harm 0.4524)  [6s, 8,787 win/s]
  ep 82  loss 0.0862 (pw 0.0034 harm 0.4501)  [6s, 8,770 win/s]
  ep 83  loss 0.0837 (pw 0.0034 harm 0.4430)  [6s, 8,801 win/s]
  ep 84  loss 0.0840 (pw 0.0034 harm 0.4469)  [6s, 8,784 win/s]
  ep 85  loss 0.0831 (pw 0.0033 harm 0.4460)  [6s, 8,773 win/s]
  ep 86  loss 0.0851 (pw 0.0033 harm 0.4475)  [6s, 8,809 win/s]
