====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mix — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 58  loss 0.1925 (pw 0.0013 harm 1.5793)  [5s, 9,299 win/s]
  ep 59  loss 0.1935 (pw 0.0014 harm 1.5788)  [5s, 9,283 win/s]
  ep 60  loss 0.1939 (pw 0.0013 harm 1.5922)  |  MAE 3.753W  F1 0.9685  저항3종 1.000  잔차 27.9W  [5s 학습 / 0s 평가, 9,311 win/s]
  ep 61  loss 0.1921 (pw 0.0013 harm 1.5835)  [5s, 9,302 win/s]
  ep 62  loss 0.1933 (pw 0.0013 harm 1.5964)  [5s, 9,285 win/s]
  ep 63  loss 0.1932 (pw 0.0013 harm 1.5896)  [5s, 9,283 win/s]
  ep 64  loss 0.1939 (pw 0.0013 harm 1.6047)  [5s, 9,287 win/s]
  ep 65  loss 0.1932 (pw 0.0013 harm 1.5971)  [5s, 9,293 win/s]
  ep 66  loss 0.1885 (pw 0.0013 harm 1.5670)  [5s, 9,275 win/s]
  ep 67  loss 0.1914 (pw 0.0013 harm 1.5916)  [5s, 9,305 win/s]
  ep 68  loss 0.1955 (pw 0.0013 harm 1.6246)  [5s, 9,279 win/s]
  ep 69  loss 0.1933 (pw 0.0014 harm 1.5992)  [5s, 9,292 win/s]
  ep 70  loss 0.1907 (pw 0.0013 harm 1.5826)  |  MAE 3.640W  F1 0.9691  저항3종 1.000  잔차 28.6W  [5s 학습 / 0s 평가, 9,282 win/s]
  ep 71  loss 0.1928 (pw 0.0013 harm 1.6170)  [5s, 9,334 win/s]
  ep 72  loss 0.1925 (pw 0.0013 harm 1.5984)  [5s, 9,280 win/s]
  ep 73  loss 0.1892 (pw 0.0012 harm 1.5894)  [5s, 9,302 win/s]
  ep 74  loss 0.1930 (pw 0.0013 harm 1.6053)  [5s, 9,282 win/s]
  ep 75  loss 0.1902 (pw 0.0013 harm 1.5934)  [5s, 9,295 win/s]
  ep 76  loss 0.1932 (pw 0.0013 harm 1.6174)  [5s, 9,271 win/s]
  ep 77  loss 0.1900 (pw 0.0013 harm 1.5859)  [5s, 9,295 win/s]
  ep 78  loss 0.1896 (pw 0.0013 harm 1.5963)  [5s, 9,275 win/s]
